"Transaction Type","Timekeeper Nickname 1","Client Nickname 1","Activity Nickname 1","Reference Nickname 1","Extra","Transaction Date","Hold",
"Time","CoreyM","Abington","Build Structure","AAA-Project","Slip: t1","01/01/2013","No"
"Time","JamesR","Acton","DemoS","ACTON-Project01","Slip: t2","01/01/2013","No"
"Time","SamS","Acushnet","Fix","ACUSH-Project02","Slip: t3","01/01/2013","No"
"Time","ShawnR","Adams","DesignS","EEE-Project","Slip: t4","01/01/2013","No"
"Time","TomH","Agawam","Bid","III-Project","Slip: t5","01/01/2013","No"
"Time","CoreyM","Alford","Clean","OOO-Project","Slip: t6","01/01/2013","No"
"Time","JamesR","Amesbury","DesignL","UUU-Project","Slip: t7","01/01/2013","No"
"Time","SamS","Amherst","Planting","","Slip: t8","01/01/2013","No"
"Time","ShawnR","Andover","Lot Maintenance","AAA-Project","Slip: t9","01/02/2013","No"
"Time","TomH","Aquinnah","Water Feature","AQUIN-Project01","Slip: t10","01/02/2013","No"
"Time","CoreyM","Arlington","Pave","ARLIN-Project02","Slip: t11","01/02/2013","No"
"Time","JamesR","Ashburnham","Build Structure","EEE-Project","Slip: t12","01/02/2013","No"
"Time","SamS","Ashby","DemoS","III-Project","Slip: t13","01/02/2013","No"
"Time","ShawnR","Ashfield","Fix","OOO-Project","Slip: t14","01/02/2013","No"
"Time","TomH","Ashland","DesignS","UUU-Project","Slip: t15","01/02/2013","No"
"Time","CoreyM","Athol","Bid","","Slip: t16","01/02/2013","No"
"Time","JamesR","Attleboro","Clean","AAA-Project","Slip: t17","01/03/2013","No"
"Time","SamS","Auburn","DesignL","AUBUR-Project01","Slip: t18","01/03/2013","No"
"Time","ShawnR","Avon","Planting","AVON-Project02","Slip: t19","01/03/2013","No"
"Time","TomH","Ayer","Lot Maintenance","EEE-Project","Slip: t20","01/03/2013","No"
"Time","CoreyM","Barnstable","Water Feature","III-Project","Slip: t21","01/03/2013","No"
"Time","JamesR","Barre","Pave","OOO-Project","Slip: t22","01/03/2013","No"
"Time","SamS","Becket","Build Structure","UUU-Project","Slip: t23","01/03/2013","No"
"Time","ShawnR","Bedford","DemoS","","Slip: t24","01/03/2013","No"
"Time","TomH","Belchertown","Fix","AAA-Project","Slip: t25","01/04/2013","Yes"
"Time","CoreyM","Bellingham","DesignS","BELLI-Project01","Slip: t26","01/04/2013","No"
"Time","JamesR","Belmont","Bid","BELMO-Project02","Slip: t27","01/04/2013","No"
"Time","SamS","Berkley","Clean","EEE-Project","Slip: t28","01/04/2013","No"
"Time","ShawnR","Berlin","DesignL","III-Project","Slip: t29","01/04/2013","No"
"Time","TomH","Bernardston","Planting","OOO-Project","Slip: t30","01/04/2013","No"
"Time","CoreyM","Beverly","Lot Maintenance","UUU-Project","Slip: t31","01/04/2013","No"
"Time","JamesR","Billerica","Water Feature","","Slip: t32","01/04/2013","No"
"Time","SamS","Blackstone","Pave","AAA-Project","Slip: t33","01/05/2013","No"
"Time","ShawnR","Blandford","Build Structure","BLAND-Project01","Slip: t34","01/05/2013","No"
"Time","TomH","Bolton","DemoS","BOLTO-Project02","Slip: t35","01/05/2013","No"
"Time","CoreyM","Boston","Fix","EEE-Project","Slip: t36","01/05/2013","No"
"Time","JamesR","Bourne","DesignS","III-Project","Slip: t37","01/05/2013","No"
"Time","SamS","Boxborough","Bid","OOO-Project","Slip: t38","01/05/2013","No"
"Time","ShawnR","Boxford","Clean","UUU-Project","Slip: t39","01/05/2013","No"
"Time","TomH","Boylston","DesignL","","Slip: t40","01/05/2013","No"
"Time","CoreyM","Braintree","Planting","AAA-Project","Slip: t41","01/06/2013","No"
"Time","JamesR","Brewster","Lot Maintenance","BREWS-Project01","Slip: t42","01/06/2013","No"
"Time","SamS","Bridgewater","Water Feature","BRIDG-Project02","Slip: t43","01/06/2013","No"
"Time","ShawnR","Brimfield","Pave","EEE-Project","Slip: t44","01/06/2013","No"
"Time","TomH","Brockton","Build Structure","III-Project","Slip: t45","01/06/2013","No"
"Time","CoreyM","Brookfield","DemoS","OOO-Project","Slip: t46","01/06/2013","No"
"Time","JamesR","Brookline","Fix","UUU-Project","Slip: t47","01/06/2013","No"
"Time","SamS","Buckland","DesignS","","Slip: t48","01/06/2013","No"
"Time","ShawnR","Burlington","Bid","AAA-Project","Slip: t49","01/07/2013","No"
"Time","TomH","Cambridge","Clean","CAMBR-Project01","Slip: t50","01/07/2013","Yes"
"Time","CoreyM","Canton","DesignL","CANTO-Project02","Slip: t51","01/07/2013","No"
"Time","JamesR","Carlisle","Planting","EEE-Project","Slip: t52","01/07/2013","No"
"Time","SamS","Carver","Lot Maintenance","III-Project","Slip: t53","01/07/2013","No"
"Time","ShawnR","Charlemont","Water Feature","OOO-Project","Slip: t54","01/07/2013","No"
"Time","TomH","Charlton","Pave","UUU-Project","Slip: t55","01/07/2013","No"
"Time","CoreyM","Chatham","Build Structure","","Slip: t56","01/07/2013","No"
"Time","JamesR","Chelmsford","DemoS","AAA-Project","Slip: t57","01/08/2013","No"
"Time","SamS","Chelsea","Fix","CHELS-Project01","Slip: t58","01/08/2013","No"
"Time","ShawnR","Cheshire","DesignS","CHESH-Project02","Slip: t59","01/08/2013","No"
"Time","TomH","Chester","Bid","EEE-Project","Slip: t60","01/08/2013","No"
"Time","CoreyM","Chesterfield","Clean","III-Project","Slip: t61","01/08/2013","No"
"Time","JamesR","Chicopee","DesignL","OOO-Project","Slip: t62","01/08/2013","No"
"Time","SamS","Chilmark","Planting","UUU-Project","Slip: t63","01/08/2013","No"
"Time","ShawnR","Clarksburg","Lot Maintenance","","Slip: t64","01/08/2013","No"
"Time","TomH","Clinton","Water Feature","AAA-Project","Slip: t65","01/09/2013","No"
"Time","CoreyM","Cohasset","Pave","COHAS-Project01","Slip: t66","01/09/2013","No"
"Time","JamesR","Colrain","Build Structure","COLRA-Project02","Slip: t67","01/09/2013","No"
"Time","SamS","Concord","DemoS","EEE-Project","Slip: t68","01/09/2013","No"
"Time","ShawnR","Conway","Fix","III-Project","Slip: t69","01/09/2013","No"
"Time","TomH","Cummington","DesignS","OOO-Project","Slip: t70","01/09/2013","No"
