"","","","Slip Value","","","Time Spent (optional rounding)","Do Not Bill Time","Rate Value","Overhead Cost","","","","","","",
"1/1/2015","10/14/2013","#Unknown!","122.41","222.22","#Unknown!","1:12:00","0:00:00","102.01","60.02","#Unknown!","15,985.00","222.22","2.87","101.01","#Unknown!"
"1/2/2015","6/15/2013","#Unknown!","231.04","555.55","#Unknown!","2:12:00","0:00:00","105.02","110.11","#Unknown!","21,924.00","555.55","1.66","202.02","#Unknown!"
"1/3/2015","12/6/2013","#Unknown!","329.70","333.33","#Unknown!","3:12:00","0:00:00","103.03","160.10","#Unknown!","10,303.00","333.33","3.40","303.03","#Unknown!"
"1/6/2015","2/18/2013","#Unknown!","645.05","444.44","#Unknown!","6:12:00","0:00:00","104.04","310.25","#Unknown!","8,485.00","444.44","0.49","606.06","#Unknown!"
"1/4/2015","1/1/2013","#Unknown!","424.41","111.11","#Unknown!","4:12:00","0:00:00","101.05","210.04","#Unknown!","28,438.00","111.11","0.01","404.04","#Unknown!"
"1/5/2015","2/24/2013","#Unknown!","530.71","222.22","#Unknown!","5:12:00","0:45:00","102.06","260.10","#Unknown!","494.00","222.22","0.55","505.05","#Unknown!"
"1/7/2015","8/2/2013","#Unknown!","756.50","555.55","#Unknown!","7:12:00","0:45:00","105.07","360.36","#Unknown!","16,283.00","555.55","2.14","707.07","#Unknown!"
"1/8/2015","1/3/2013","#Unknown!","845.26","333.33","#Unknown!","8:12:00","0:45:00","103.08","410.25","#Unknown!","37,819.00","333.33","0.03","808.08","#Unknown!"
"1/9/2015","7/8/2013","#Unknown!","957.63","444.44","#Unknown!","9:12:00","0:45:00","104.09","460.37","#Unknown!","33,201.00","444.44","1.89","909.09","#Unknown!"
"1/10/2015","11/4/2013","#Unknown!","1031.22","111.11","#Unknown!","10:12:00","0:45:00","101.10","510.10","#Unknown!","311.00","111.11","3.08","1,010.10","#Unknown!"
"1/11/2015","10/28/2013","#Unknown!","1143.63","222.22","#Unknown!","11:12:00","0:00:00","102.11","560.22","#Unknown!","42,844.00","222.22","3.01","1,111.11","#Unknown!"
"1/1/2015","4/19/2013","#Unknown!","126.14","555.55","#Unknown!","1:12:00","0:00:00","105.12","60.06","#Unknown!","6,081.00","555.55","1.09","101.01","#Unknown!"
"1/2/2015","4/20/2013","#Unknown!","226.89","333.33","#Unknown!","2:12:00","0:00:00","103.13","110.07","#Unknown!","3,074.00","333.33","1.10","202.02","#Unknown!"
