"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","84653.69","0.022484","1903.37","86557.06"
"Cleanup Supplies","83103.78","0.064119","5328.52","88432.30"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","114858.55","-0.023109","(2654.26)","112204.29"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","165294.49","0.064118","10598.31","175892.80"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","166610.73","0.020614","3434.48","170045.21"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","109397.60","0.033044","3614.88","113012.48"
"Planting","145113.13","-0.020437","(2965.69)","142147.44"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","56231.75","0.033162","1864.78","58096.53"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","170122.54","0.021740","3698.38","173820.92"
"Wood","136584.50","0.064224","8771.98","145356.48"
