"Beverly","01/27/2013","0.650000","1286.36","0.550000","0.00","131.04","G:12374","1979.01","0.00"
"Peabody","01/27/2013","0.150000","296.85","0.200000","0.00","308.72","G:12553","1979.01","0.00"
"Saugus","01/27/2013","0.200000","395.80","0.250000","0.00","0.00","G:12554","1979.01","0.00"
"Beverly","02/27/2013","0.650000","1146.54","0.550000","0.00","0.00","G:12585","1763.90","0.00"
"Peabody","02/27/2013","0.150000","264.58","0.200000","0.00","20.29","G:12755","1763.90","0.00"
"Saugus","02/27/2013","0.200000","352.78","0.250000","0.00","0.00","G:12787","1763.90","0.00"
"Beverly","03/27/2013","0.650000","0.00","0.550000","0.00","0.00","G:12898","0.00","0.00"
"Peabody","03/27/2013","0.150000","0.00","0.200000","0.00","0.00","G:13073","0.00","0.00"
"Saugus","03/27/2013","0.200000","0.00","0.250000","0.00","387.05","G:13105","0.00","0.00"
"Beverly","04/27/2013","0.650000","0.00","0.550000","851.78","0.00","G:13208","0.00","1548.67"
"Peabody","04/27/2013","0.150000","0.00","0.200000","309.73","0.00","G:13406","0.00","1548.67"
"Saugus","04/27/2013","0.200000","0.00","0.250000","387.16","0.00","G:13439","0.00","1548.67"
"Beverly","05/27/2013","0.650000","0.00","0.550000","0.00","5.05","G:13550","0.00","0.00"
"Peabody","05/27/2013","0.150000","0.00","0.200000","0.00","5.05","G:13747","0.00","0.00"
"Saugus","05/27/2013","0.200000","0.00","0.250000","0.00","0.00","G:13780","0.00","0.00"
