"Client Nickname 1","Cost Balance","Current Period w/Unapplied Payments","Fee Balance","Interest Balance","30 Days Total","60 Days Total","90 Days Total","120 Days Total","150 Days Total","180 Days Total","Previous Balance","Total Balance","Balance Due","Days Since Last Bill","Finance Charge","Finance Charge Description","Finance Charge Type","Finance Charge Value","Hold Type A/R Transactions","Hourly Rate","Hours Billed To Date","Percent Interest Annual Rate","Interest Charge At","Interest Grace Period","Interest Type","Invoice Number Format","Invoice Number Next","Invoice Number Type","Last Bill Date","Last Payment Amount","Last Payment Check","Last Payment Date","Last Payment ID","Last Payment Type","% Total Markup/Discount Value","Minimum Hours","New Charges Costs","New Charges Fees","New Charges Interest","New Charges Total","New Receivables","Overdue Balance","Payment Distrib: First Pay In Full","Payment Distrib: First Pay Invoice","Payment Distrib: Order of Charges","Payment Distrib: Require Manual","Payments Not Yet Applied Portion","Prorate Under Min Hours","Record Count",
"Abington","0.00","25.29","25.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","127.31","25.29","8415.98","0","1.99","Finance charge for: Abington: Month: 1","Next Bill","1.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","101.01","1","01/28/2013","177","Check","0.000000","0:00:00","5565.30","2848.41","1.99","8415.70","(102.02)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acton","0.00","137.26","137.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","240.28","137.26","8627.21","0","2.99","Finance charge for: Acton: Month: 1","Next Bill","2.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","102.01","2","01/28/2013","178","Check","0.000000","0:00:00","6511.68","2000.29","2.99","8514.96","(103.02)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acushnet","0.00","238.87","238.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","342.89","238.87","7723.32","0","3.99","Finance charge for: Acushnet: Month: 1","Next Bill","3.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","103.01","3","01/28/2013","179","Check","0.000000","0:00:00","6281.65","1223.82","3.99","7509.46","(104.02)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Adams","0.00","565.83","565.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","670.85","565.83","6438.43","0","4.99","Finance charge for: Adams: Month: 1","Next Bill","4.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","104.01","4","01/28/2013","180","Check","0.000000","0:00:00","4356.14","1536.48","4.99","5897.61","(105.02)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Agawam","0.00","335.37","335.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","441.39","335.37","7166.35","0","5.99","Finance charge for: Agawam: Month: 1","Next Bill","5.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","105.01","5","01/28/2013","181","Check","0.000000","0:00:00","4885.10","1964.90","5.99","6855.99","(106.02)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Alford","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6099.99","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","0.00","","","0","","0.000000","0:00:00","5282.50","817.49","0.00","6099.99","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amesbury","0.00","299.41","299.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","299.41","299.41","6627.11","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","0.00","","","0","","0.000000","0:00:00","5448.21","879.49","0.00","6327.70","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amherst","0.00","345.22","345.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","346.23","345.22","4358.88","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","0.00","","","0","","0.000000","0:00:00","1867.46","2146.20","0.00","4013.66","(1.01)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Andover","0.00","1327.68","1327.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1436.69","1327.68","6832.29","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","109.01","9","01/28/2013","182","Check","0.000000","0:00:00","2084.35","3420.26","0.00","5504.61","(109.01)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Aquinnah","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5804.13","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","01/27/2013","0.00","","","0","","0.000000","0:00:00","4385.63","1418.50","0.00","5804.13","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
