"BA-Absolute-Both","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Absolute flat fee","1000.00 on next bill.","0.00","1000.00","1000.00","1004.81","1000.00","(4.81)","1004.81","2000.00","995.19"
"BA-Absolute-Exp","","","","","","","","","","","","Costs - Absolute flat fee","1000.00 on next bill.","0.00","1000.00","1000.00","883.60","1000.00","116.40","883.60","2000.00","1116.40","","","","","","","","","","",""
"BA-Absolute-NoSlips","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Absolute flat fee","Completed: Charges are now from slips alone.","0.00","0.00","0.00","0.00","3000.00","3000.00","0.00","3000.00","3000.00"
"BA-Absolute-Time","Fees - Absolute flat fee","1000.00 on next bill.","0.00","1000.00","1000.00","121.21","1000.00","878.79","121.21","2000.00","1878.79","","","","","","","","","","","","","","","","","","","","","",""
"BA-Cont-Both","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Contingency flat fee","Completed: Charges are now from slips alone.","0.00","0.00","0.00","2009.62","500.00","(1509.62)","2009.62","500.00","(1509.62)"
"BA-Cont-Exp","","","","","","","","","","","","Costs - Contingency flat fee","Completed: Charges are now from slips alone.","0.00","0.00","0.00","1767.20","500.00","(1267.20)","1767.20","500.00","(1267.20)","","","","","","","","","","",""
"BA-Cont-Time","Fees - Contingency flat fee","Completed: Charges are now from slips alone.","0.00","0.00","0.00","242.42","1000.00","757.58","242.42","1000.00","757.58","","","","","","","","","","","","","","","","","","","","","",""
"BA-FFPlus-Both","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Flat fee plus charges","500.00 plus charges on next bill.","0.00","500.00","500.00","1004.81","1504.81","500.00","1004.81","2004.81","1000.00"
"BA-FFPlus-Exp","","","","","","","","","","","","Costs - Flat fee plus charges","500.00 plus charges on next bill.","0.00","500.00","500.00","883.60","1383.60","500.00","883.60","1883.60","1000.00","","","","","","","","","","",""
"BA-FFPlus-Time","Fees - Flat fee plus charges","500.00 plus charges on next bill.","0.00","500.00","500.00","121.21","621.21","500.00","121.21","1121.21","1000.00","","","","","","","","","","","","","","","","","","","","","",""
"BA-InterimAct","Fees - Interim billing: by activity","New charges determined ad-hoc at billing time. Completed: Charges are now from slips alone.","0.00","0.00","0.00","363.63","1800.00","1436.37","363.63","1800.00","1436.37","","","","","","","","","","","","","","","","","","","","","",""
"BA-InterimTot","Fees - Interim billing: total","New charges determined ad-hoc at billing time. Completed: Charges are now from slips alone.","0.00","0.00","0.00","363.63","1800.00","1436.37","363.63","1800.00","1436.37","","","","","","","","","","","","","","","","","","","","","",""
"BA-Maximum-Both","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Maximum flat fee","500.00 maximum on next bill.","0.00","0.00","0.00","1004.81","500.00","(504.81)","1004.81","500.00","(504.81)"
"BA-Maximum-Exp","","","","","","","","","","","","Costs - Maximum flat fee","500.00 maximum on next bill.","0.00","0.00","0.00","883.60","500.00","(383.60)","883.60","500.00","(383.60)","","","","","","","","","","",""
"BA-Maximum-Time","Fees - Maximum flat fee","500.00 maximum on next bill.","0.00","0.00","0.00","121.21","121.21","0.00","121.21","121.21","0.00","","","","","","","","","","","","","","","","","","","","","",""
"BA-Minimum-Both","","","","","","","","","","","","","","","","","","","","","","","Full Bill - Minimum flat fee","5000.00 minimum on next bill.","0.00","5000.00","5000.00","1004.81","5000.00","3995.19","1004.81","10000.00","8995.19"
"BA-Minimum-Exp","","","","","","","","","","","","Costs - Minimum flat fee","5000.00 minimum on next bill.","0.00","5000.00","5000.00","883.60","5000.00","4116.40","883.60","10000.00","9116.40","","","","","","","","","","",""
"BA-Minimum-Time","Fees - Minimum flat fee","5000.00 minimum on next bill.","0.00","5000.00","5000.00","121.21","5000.00","4878.79","121.21","10000.00","9878.79","","","","","","","","","","","","","","","","","","","","","",""
"BA-MinimumHours","Fees - Minimum hours flat fee","1000.00 for the first 1.00 hours then 500.00 per hour on next bill.","0.00","1000.00","1000.00","121.21","1100.00","978.79","121.21","2100.00","1978.79","","","","","","","","","","","","","","","","","","","","","",""
"BA-Percent","Fees - Percent complete flat fee","Completed: Charges are now from slips alone.","0.00","0.00","0.00","363.63","1000.00","636.37","363.63","1000.00","636.37","","","","","","","","","","","","","","","","","","","","","",""
"BA-ProgressAct","Fees - Progress billing: by activity","New charges determined ad-hoc at billing time. Completed: Charges are now from slips alone.","0.00","0.00","0.00","363.63","1800.00","1436.37","363.63","1800.00","1436.37","","","","","","","","","","","","","","","","","","","","","",""
"BA-ProgressTot","Fees - Progress billing: total","New charges determined ad-hoc at billing time. Completed: Charges are now from slips alone.","0.00","0.00","0.00","363.63","1800.00","1436.37","363.63","1800.00","1436.37","","","","","","","","","","","","","","","","","","","","","",""
