"TomH","1/1/2013 - 1/31/2013","70:48:00","0:00:00","70:48:00","4:00:36","66:47:24","17.655860","0:00:00","0:00:00","0:00:00","1:00:36","-1:00:36","0.000000","70:48:00","0:00:00","70:48:00","5:00:36","65:47:24","14.131737","7151.41","0.00","7151.41","90.01","7061.40","79.451283","0.00","0.00","0.00","10.01","(10.01)","0.000000","7151.41","0.00","7151.41","100.01","7051.40","71.506949","21986.22","0.00","21986.22","50.01","21936.21","439.636473","6760.28","0.00","6760.28","13.01","6747.27","519.621829","28547.10","0.00","28547.10","2.01","28545.09","1317.635425","35307.38","0.00","35307.38","15.01","35292.37","-1942.710134","7098.28","0.00","7098.28","20.01","7078.27","354.736632"
"TomH","2/1/2013 - 2/28/2013","0:00:00","0:00:00","0:00:00","4:01:12","-4:01:12","0.000000","0:00:00","0:00:00","0:00:00","1:01:12","-1:01:12","0.000000","0:00:00","0:00:00","0:00:00","5:01:12","-5:01:12","0.000000","0.00","0.00","0.00","90.02","(90.02)","0.000000","0.00","0.00","0.00","10.02","(10.02)","0.000000","0.00","0.00","0.00","100.02","(100.02)","0.000000","0.00","0.00","0.00","50.02","(50.02)","0.000000","0.00","0.00","0.00","13.02","(13.02)","0.000000","0.00","0.00","0.00","2.02","(2.02)","0.000000","0.00","0.00","0.00","15.02","(15.02)","0.000000","0.00","0.00","0.00","20.02","(20.02)","0.000000"
"TomH","3/1/2013 - 3/31/2013","0:00:00","0:00:00","0:00:00","4:01:48","-4:01:48","0.000000","0:00:00","0:00:00","0:00:00","1:01:48","-1:01:48","0.000000","0:00:00","0:00:00","0:00:00","5:01:48","-5:01:48","0.000000","0.00","0.00","0.00","90.03","(90.03)","0.000000","0.00","0.00","0.00","10.03","(10.03)","0.000000","0.00","0.00","0.00","100.03","(100.03)","0.000000","0.00","0.00","0.00","50.03","(50.03)","0.000000","0.00","0.00","0.00","13.03","(13.03)","0.000000","0.00","0.00","0.00","2.03","(2.03)","0.000000","0.00","0.00","0.00","15.03","(15.03)","0.000000","0.00","0.00","0.00","20.03","(20.03)","0.000000"
"TomH","4/1/2013 - 4/30/2013","0:00:00","0:00:00","0:00:00","4:02:24","-4:02:24","0.000000","0:00:00","0:00:00","0:00:00","1:02:24","-1:02:24","0.000000","0:00:00","0:00:00","0:00:00","5:02:24","-5:02:24","0.000000","0.00","0.00","0.00","90.04","(90.04)","0.000000","0.00","0.00","0.00","10.04","(10.04)","0.000000","0.00","0.00","0.00","100.04","(100.04)","0.000000","0.00","0.00","0.00","50.04","(50.04)","0.000000","0.00","0.00","0.00","13.04","(13.04)","0.000000","0.00","0.00","0.00","2.04","(2.04)","0.000000","0.00","0.00","0.00","15.04","(15.04)","0.000000","0.00","0.00","0.00","20.04","(20.04)","0.000000"
"TomH","5/1/2013 - 5/31/2013","0:00:00","0:00:00","0:00:00","4:03:00","-4:03:00","0.000000","0:00:00","0:00:00","0:00:00","1:03:00","-1:03:00","0.000000","0:00:00","0:00:00","0:00:00","5:03:00","-5:03:00","0.000000","0.00","0.00","0.00","90.05","(90.05)","0.000000","0.00","0.00","0.00","10.05","(10.05)","0.000000","0.00","0.00","0.00","100.05","(100.05)","0.000000","0.00","0.00","0.00","50.05","(50.05)","0.000000","0.00","0.00","0.00","13.05","(13.05)","0.000000","0.00","0.00","0.00","2.05","(2.05)","0.000000","0.00","0.00","0.00","15.05","(15.05)","0.000000","0.00","0.00","0.00","20.05","(20.05)","0.000000"
"TomH","6/1/2013 - 6/30/2013","0:00:00","0:00:00","0:00:00","4:03:36","-4:03:36","0.000000","0:00:00","0:00:00","0:00:00","1:03:36","-1:03:36","0.000000","0:00:00","0:00:00","0:00:00","5:03:36","-5:03:36","0.000000","0.00","0.00","0.00","90.06","(90.06)","0.000000","0.00","0.00","0.00","10.06","(10.06)","0.000000","0.00","0.00","0.00","100.06","(100.06)","0.000000","0.00","0.00","0.00","50.06","(50.06)","0.000000","0.00","0.00","0.00","13.06","(13.06)","0.000000","0.00","0.00","0.00","2.06","(2.06)","0.000000","0.00","0.00","0.00","15.06","(15.06)","0.000000","0.00","0.00","0.00","20.06","(20.06)","0.000000"
"TomH","7/1/2013 - 7/31/2013","0:00:00","0:00:00","0:00:00","4:04:12","-4:04:12","0.000000","0:00:00","0:00:00","0:00:00","1:04:12","-1:04:12","0.000000","0:00:00","0:00:00","0:00:00","5:04:12","-5:04:12","0.000000","0.00","0.00","0.00","90.07","(90.07)","0.000000","0.00","0.00","0.00","10.07","(10.07)","0.000000","0.00","0.00","0.00","100.07","(100.07)","0.000000","0.00","0.00","0.00","50.07","(50.07)","0.000000","0.00","0.00","0.00","13.07","(13.07)","0.000000","0.00","0.00","0.00","2.07","(2.07)","0.000000","0.00","0.00","0.00","15.07","(15.07)","0.000000","0.00","0.00","0.00","20.07","(20.07)","0.000000"
"TomH","8/1/2013 - 8/31/2013","0:00:00","0:00:00","0:00:00","4:04:48","-4:04:48","0.000000","0:00:00","0:00:00","0:00:00","1:04:48","-1:04:48","0.000000","0:00:00","0:00:00","0:00:00","5:04:48","-5:04:48","0.000000","0.00","0.00","0.00","90.08","(90.08)","0.000000","0.00","0.00","0.00","10.08","(10.08)","0.000000","0.00","0.00","0.00","100.08","(100.08)","0.000000","0.00","0.00","0.00","50.08","(50.08)","0.000000","0.00","0.00","0.00","13.08","(13.08)","0.000000","0.00","0.00","0.00","2.08","(2.08)","0.000000","0.00","0.00","0.00","15.08","(15.08)","0.000000","0.00","0.00","0.00","20.08","(20.08)","0.000000"
"TomH","9/1/2013 - 9/30/2013","0:00:00","0:00:00","0:00:00","4:05:24","-4:05:24","0.000000","0:00:00","0:00:00","0:00:00","1:05:24","-1:05:24","0.000000","0:00:00","0:00:00","0:00:00","5:05:24","-5:05:24","0.000000","0.00","0.00","0.00","90.09","(90.09)","0.000000","0.00","0.00","0.00","10.09","(10.09)","0.000000","0.00","0.00","0.00","100.09","(100.09)","0.000000","0.00","0.00","0.00","50.09","(50.09)","0.000000","0.00","0.00","0.00","13.09","(13.09)","0.000000","0.00","0.00","0.00","2.09","(2.09)","0.000000","0.00","0.00","0.00","15.09","(15.09)","0.000000","0.00","0.00","0.00","20.09","(20.09)","0.000000"
"TomH","10/1/2013 - 10/31/2013","0:00:00","0:00:00","0:00:00","4:06:00","-4:06:00","0.000000","0:00:00","0:00:00","0:00:00","1:06:00","-1:06:00","0.000000","0:00:00","0:00:00","0:00:00","5:06:00","-5:06:00","0.000000","0.00","0.00","0.00","90.10","(90.10)","0.000000","0.00","0.00","0.00","10.10","(10.10)","0.000000","0.00","0.00","0.00","100.10","(100.10)","0.000000","0.00","0.00","0.00","50.10","(50.10)","0.000000","0.00","0.00","0.00","13.10","(13.10)","0.000000","0.00","0.00","0.00","2.10","(2.10)","0.000000","0.00","0.00","0.00","15.10","(15.10)","0.000000","0.00","0.00","0.00","20.10","(20.10)","0.000000"
