"Adams","0.00","163.97","163.97","0.00","163.97"
"Agawam","0.00","0.00","0.00","0.00","0.00"
"Alford","0.00","369.60","369.60","0.00","369.60"
"Amesbury","287.89","1640.18","1928.07","0.00","1928.07"
"Amherst","332.91","0.00","332.91","0.00","332.91"
"Andover","1381.43","0.00","1381.43","0.00","1381.43"
"Aquinnah","0.00","0.00","0.00","0.00","0.00"
"Barre","0.00","1774.57","1774.57","0.00","1774.57"
"Becket","0.00","2232.67","2232.67","0.00","2232.67"
"Bedford","201.65","0.00","201.65","0.00","201.65"
"Belchertown","16.16","0.00","16.16","0.00","16.16"
"Brookline","0.00","2464.88","2464.88","0.00","2464.88"
"Buckland","0.00","450.71","450.71","0.00","450.71"
"Burlington","657.76","0.00","657.76","0.00","657.76"
"Cambridge","0.00","0.00","0.00","0.00","0.00"
"Danvers","0.00","0.00","0.00","0.00","0.00"
"Dartmouth","0.00","1103.18","1103.18","0.00","1103.18"
"Dedham","728.21","0.00","728.21","0.00","728.21"
"Deerfield","930.58","0.00","930.58","0.00","930.58"
"Falmouth","0.00","0.00","0.00","0.00","0.00"
"Fitchburg","0.00","1774.57","1774.57","0.00","1774.57"
"Florida","0.00","0.00","0.00","0.00","0.00"
"Foxborough","289.44","0.00","289.44","0.00","289.44"
"Hanover","0.00","2002.57","2002.57","0.00","2002.57"
"Hanson","0.00","2464.88","2464.88","0.00","2464.88"
"Hardwick","222.29","0.00","222.29","0.00","222.29"
"Harvard","626.51","0.00","626.51","0.00","626.51"
"Lancaster","0.00","237.44","237.44","0.00","237.44"
"Lanesborough","0.00","0.00","0.00","0.00","0.00"
"Lawrence","827.78","0.00","827.78","0.00","827.78"
"Lee","439.92","0.00","439.92","0.00","439.92"
"Mashpee","0.00","883.60","883.60","0.00","883.60"
"Mattapoisett","0.00","0.00","0.00","0.00","0.00"
"Maynard","886.75","0.00","886.75","0.00","886.75"
"Medfield","0.00","0.00","0.00","0.00","0.00"
"Nantucket","0.00","1548.67","1548.67","0.00","1548.67"
"Natick","0.00","2002.57","2002.57","0.00","2002.57"
"Needham","1133.33","0.00","1133.33","0.00","1133.33"
"New Ashford","222.64","0.00","222.64","0.00","222.64"
"Oakham","0.00","2232.67","2232.67","0.00","2232.67"
"Orange","0.00","237.44","237.44","0.00","237.44"
"Orleans","329.73","0.00","329.73","0.00","329.73"
"Otis","437.01","0.00","437.01","0.00","437.01"
"Rehoboth","0.00","450.71","450.71","0.00","450.71"
"Revere","0.00","883.60","883.60","0.00","883.60"
"Richmond","0.00","0.00","0.00","0.00","0.00"
"Rochester","829.02","0.00","829.02","0.00","829.02"
"Shutesbury","0.00","1103.18","1103.18","0.00","1103.18"
"Somerset","0.00","1548.67","1548.67","0.00","1548.67"
"Somerville","2402.49","0.00","2402.49","0.00","2402.49"
"South.Hadley","382.48","0.00","382.48","0.00","382.48"
"Tolland","0.00","1774.57","1774.57","0.00","1774.57"
"Topsfield","0.00","2232.67","2232.67","0.00","2232.67"
"Townsend","121.43","0.00","121.43","0.00","121.43"
"Truro","330.24","0.00","330.24","0.00","330.24"
"Wales","0.00","0.00","0.00","0.00","0.00"
"West.Bridgewater","0.00","2464.88","2464.88","0.00","2464.88"
"West.Brookfield","0.00","450.71","450.71","0.00","450.71"
"West.Newbury","1457.25","0.00","1457.25","0.00","1457.25"
"West.Springfield","0.00","0.00","0.00","0.00","0.00"
"Woburn","0.00","0.00","0.00","0.00","0.00"
"Worcester","0.00","1103.18","1103.18","0.00","1103.18"
"Worthington","771.05","0.00","771.05","0.00","771.05"
"Wrentham","1003.72","0.00","1003.72","0.00","1003.72"
