"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","87837.95","0.040243","3534.83","91372.78"
"Cleanup Supplies","86910.06","0.083749","7278.64","94188.70"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","119397.55","-0.041285","(4929.34)","114468.21"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","172865.23","0.083748","14477.13","187342.36"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","172356.51","0.037007","6378.32","178734.83"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","114446.72","0.009472","1084.08","115530.80"
"Planting","150184.69","-0.036673","(5507.71)","144676.98"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","58807.25","0.009758","573.82","59381.07"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","176309.86","0.038957","6868.42","183178.28"
"Wood","142888.40","0.083994","12001.78","154890.18"
