"Belchertown","3:12:00","16.16","0.00","16.16"
"Cambridge","5:12:00","0.00","0.00","0.00"
"Deerfield","9:12:00","930.58","0.00","930.58"
"Foxborough","1:12:00","289.44","0.00","289.44"
"Harvard","6:12:00","626.51","0.00","626.51"
"Lee","7:12:00","439.92","0.00","439.92"
"Medfield","10:12:00","0.00","0.00","0.00"
"New Ashford","2:12:00","222.64","0.00","222.64"
"Wales","On all bills until $1000.00","0.00","0.00"
"Walpole","On all bills until $1000.00 or 10.00 hours","0:00:00","0.00","0.00","0.00"
