"1","DEP","B","Hadley","10.01","01/27/2013","","P","Hadley-1","","bal - new bank"
"2","DEP","B","Halifax","20.02","01/27/2013","","P","Halifax-2","","bal - new bank"
"3","PAYT","B","East.Brookfield","185.01","01/28/2013","G:12639","","Default","","Transferred payment"
"4","PAYT","B","North.Andover","61.53","01/28/2013","I:165","","Default","","Transferred payment"
"5","PAYT","B","West.Bridgewater","422.01","01/28/2013","G:12845","","Default","","Transferred payment"
"6","PAYT","B","Abington","25.01","01/28/2013","G:12555","","Default","","Abington - 1 - 1/28/2013"
"7","PAYT","B","Acton","25.01","01/28/2013","G:12556","","Default","","Acton - 2 - 1/28/2013"
"8","PAYT","B","Acushnet","25.01","01/28/2013","G:12557","","Default","","Acushnet - 3 - 1/28/2013"
"9","PAYT","B","Adams","25.01","01/28/2013","G:12558","","Default","","Adams - 4 - 1/28/2013"
"10","PAYT","B","Agawam","25.01","01/28/2013","G:12559","","Default","","Agawam - 5 - 1/28/2013"
"11","PAYT","B","Arlington","25.01","01/28/2013","G:12565","","Default","","Arlington - 11 - 1/28/2013"
"12","PAYT","B","Attleboro","25.01","01/28/2013","G:12571","","Default","","Attleboro - 17 - 1/28/2013"
"13","PAYT","B","Becket","25.01","01/28/2013","G:12577","","Default","","Becket - 23 - 1/28/2013"
"14","PAYT","B","Berlin","25.01","01/28/2013","G:12583","","Default","","Berlin - 29 - 1/28/2013"
"15","PAYT","B","Bolton","25.01","01/28/2013","G:12589","","Default","","Bolton - 35 - 1/28/2013"
"16","PAYT","B","Braintree","25.01","01/28/2013","G:12595","","Default","","Braintree - 41 - 1/28/2013"
"17","PAYT","B","Brookline","25.01","01/28/2013","G:12601","","Default","","Brookline - 47 - 1/28/2013"
"18","PAYT","B","Carver","25.01","01/28/2013","G:12607","","Default","","Carver - 53 - 1/28/2013"
"19","PAYT","B","Cheshire","25.01","01/28/2013","G:12613","","Default","","Cheshire - 59 - 1/28/2013"
"20","PAYT","B","Clinton","25.01","01/28/2013","G:12619","","Default","","Clinton - 65 - 1/28/2013"
"21","PAYT","B","Dalton","25.01","01/28/2013","G:12625","","Default","","Dalton - 71 - 1/28/2013"
"22","PAYT","B","Dighton","25.01","01/28/2013","G:12631","","Default","","Dighton - 77 - 1/28/2013"
"23","PAYT","B","Duxbury","25.01","01/28/2013","G:12637","","Default","","Duxbury - 83 - 1/28/2013"
"24","PAYT","B","Easton","25.01","01/28/2013","G:12643","","Default","","Easton - 89 - 1/28/2013"
"25","PAYT","B","Fairhaven","25.01","01/28/2013","G:12649","","Default","","Fairhaven - 95 - 1/28/2013"
