"Abington","Invoice Charges","127.31","1225.25","1.99","1354.55","Payments","101.01","126.03","103.02","330.06","Credits","1.01","2.02","3.03","6.06","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Acton","Invoice Charges","240.28","132.13","3.13","375.54","Payments","102.01","127.03","105.16","334.20","Credits","1.01","2.02","3.03","6.06","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Acushnet","Invoice Charges","342.89","243.02","4.51","590.42","Payments","103.01","128.03","107.54","338.58","Credits","1.01","2.02","3.03","6.06","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Adams","Invoice Charges","670.85","343.65","6.76","1021.26","Payments","104.01","129.03","110.79","343.83","Credits","1.01","2.02","3.03","6.06","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Agawam","Invoice Charges","441.39","665.43","6.87","1113.69","Payments","105.01","130.03","111.90","346.94","Credits","1.01","2.02","3.03","6.06","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Alford","Invoice Charges","0.00","458.90","0.00","458.90","Payments","0.00","0.00","0.00","0.00","Credits","0.00","0.00","3.03","3.03","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Amesbury","Invoice Charges","299.41","300.68","300.56","900.65","Payments","0.00","0.00","107.03","107.03","Credits","0.00","2.02","0.00","2.02","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Amherst","Invoice Charges","346.23","1127.05","347.14","1820.42","Payments","0.00","108.02","0.00","108.02","Credits","1.01","0.00","0.00","1.01","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Andover","Invoice Charges","1436.69","2304.42","1441.78","5182.89","Payments","109.01","0.00","0.00","109.01","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Aquinnah","Invoice Charges","0.00","976.89","0.00","976.89","Payments","0.00","0.00","0.00","0.00","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Arlington","Invoice Charges","1189.38","5.05","4.56","1198.99","Payments","0.00","5.05","4.56","9.61","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Ashburnham","Invoice Charges","131.19","1201.70","0.50","1333.39","Payments","0.00","0.00","112.03","112.03","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Ashby","Invoice Charges","235.97","130.96","0.47","367.40","Payments","0.00","113.02","0.00","113.02","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Ashfield","Invoice Charges","346.58","232.40","0.89","579.87","Payments","114.01","0.00","0.00","114.01","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Ashland","Invoice Charges","652.22","342.73","2.50","997.45","Payments","0.00","0.00","0.00","0.00","Credits","0.00","0.00","3.03","3.03","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Athol","Invoice Charges","446.23","679.96","1.71","1127.90","Payments","0.00","0.00","1.71","1.71","Credits","0.00","2.02","0.00","2.02","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Attleboro","Invoice Charges","0.00","450.64","0.00","450.64","Payments","0.00","25.01","117.03","142.04","Credits","1.01","0.00","0.00","1.01","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Auburn","Invoice Charges","772.62","3.28","2.51","778.41","Payments","0.00","118.02","0.00","118.02","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Avon","Invoice Charges","888.53","760.98","2.95","1652.46","Payments","119.01","0.00","0.00","119.01","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
"Ayer","Invoice Charges","968.28","875.67","3.71","1847.66","Payments","0.00","0.00","0.00","0.00","Credits","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00"
