"Transaction ID","Billing Status","Overhead Cost","Recurring","Transaction Date","Adjustment","Classification","Price","Slip Source","Transaction Type","Approval Status","Do Not Bill Time","Profitability of Overhead Cost","Slip Value","Transaction Type (Short)","Billable Overhead Cost","Effective Rate: Slip Value / Time Spent","Profitability: Billed SV - Slip Value","Slip Value for Client Rate Source","Unbillable Overhead Cost","Billable Slip Value","End Date","Quantity","Slip Value for Task Rate Source","Unbillable Slip Value","Billable Time Spent","End Date (if needed)","Rate Level","Slip Value for Timekeeper Rate Source","Unbillable Time Spent","Billed","Exported","Rate Source","Slip Value with Markup","Variance","Billed on Invoice Date","Extra","Rate Source and Level shorthand","Start Time (if available)","Billed on Invoice No.","Hold","Rate Type","Stop Time (if available)","Billed Rate: Billed SV / Time Spent","Markup Percent","Rate Value","Time Estimated","Billed Slip Value","Markup Value","Record Count","Time Spent (optional rounding)",
"10001","Billable","60.02","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","62.39","122.41","TIME","60.02","102.01","0.00","344.41","0.00","122.41","01/01/2013","0.000","121.21","0.00","1:12:00","","1","122.41","0:00:00","1","0","Timekeeper","122.41","0:06:00","01/27/2013","Slip: t1","T@1","","G:12345","0","Hourly","","102.01","0.000000","102.01","1:06:00","122.41","0.00","1","1:12:00"
"10002","Billable","110.11","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","120.93","231.04","TIME","110.11","105.02","0.00","365.24","0.00","231.04","01/01/2013","0.000","224.44","0.00","2:12:00","","2","231.04","0:00:00","1","0","Timekeeper","231.04","0:06:00","01/27/2013","Slip: t2","T@2","","G:12346","0","Hourly","","105.02","0.000000","105.02","2:06:00","231.04","0.00","1","2:12:00"
"10003","Billable","160.10","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","169.60","329.70","TIME","160.10","103.03","0.00","1088.10","0.00","329.70","01/01/2013","0.000","329.70","0.00","3:12:00","","3","329.70","0:00:00","1","0","Timekeeper","329.70","0:06:00","01/27/2013","Slip: t3","T@3","","G:12347","0","Hourly","","103.03","0.000000","103.03","3:06:00","329.70","0.00","1","3:12:00"
"10004","Billable","310.25","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","334.80","645.05","TIME","310.25","104.04","0.00","304.05","0.00","645.05","01/01/2013","0.000","657.45","0.00","6:12:00","","4","645.05","0:00:00","1","0","Timekeeper","645.05","0:06:00","01/27/2013","Slip: t4","T@4","","G:12348","0","Hourly","","104.04","0.000000","104.04","6:06:00","645.05","0.00","1","6:12:00"
"10005","Override","210.04","0","01/01/2013","0.00","Open","0.00","Timeslips","Time","Pending","0:00:00","214.37","424.41","TIME","210.04","101.05","0.00","4.41","0.00","424.41","01/01/2013","0.000","437.01","0.00","4:12:00","","5","424.41","0:00:00","1","0","Timekeeper","424.41","0:06:00","01/27/2013","Slip: t5","T@5","","G:12349","0","Hourly","","101.05","0.000000","101.05","4:06:00","424.41","0.00","1","4:12:00"
"10006","Do Not Bill","260.10","1","07/27/2013","51.2346","Open","0.00","Timeslips","Time","Pending","0:45:00","(260.10)","530.71","TIME","0.00","102.06","(530.71)","286.31","260.10","0.00","07/27/2013","0.000","546.31","530.71","0:00:00","","6","530.71","5:12:00","0","0","Timekeeper","802.62","0:06:00","","Slip: t6","T@6","","","0","Hourly","","0.00","0.512346","102.06","5:06:00","0.00","271.91","1","5:12:00"
"10007","Override","360.36","1","07/27/2013","(50.1235)","Open","0.00","Timeslips","Time","Pending","0:45:00","(72.47)","756.50","TIME","322.82","105.07","(468.61)","1541.30","37.54","677.70","07/27/2013","0.000","770.90","78.80","6:27:00","","7","756.50","0:45:00","0","0","Timekeeper","377.32","0:06:00","","Slip: t7","T@7","","","0","Hourly","","39.98","-0.501235","105.07","7:06:00","287.89","(379.18)","1","7:12:00"
"10008","Override","410.25","1","07/27/2013","(50.1235)","Open","0.00","Timeslips","Time","Pending","0:45:00","(77.34)","845.26","TIME","372.72","103.08","(512.35)","25.26","37.52","767.95","07/27/2013","0.000","886.26","77.31","7:27:00","","8","845.26","0:45:00","0","0","Timekeeper","421.59","0:06:00","","Slip: t8","T@8","","","0","Hourly","","40.60","-0.501235","103.08","8:06:00","332.91","(423.67)","1","8:12:00"
"10009","Override","460.37","1","07/27/2013","51.2346","Open","0.00","Timeslips","Time","Pending","0:45:00","921.06","957.63","TIME","422.84","104.09","423.80","1739.63","37.53","879.56","07/27/2013","0.000","1003.63","78.07","8:27:00","","9","957.63","0:45:00","0","0","Timekeeper","1448.27","0:06:00","","Slip: t9","T@9","","","0","Hourly","","150.16","0.512346","104.09","9:06:00","1381.43","490.64","1","9:12:00"
"10010","No Charge","510.10","1","07/27/2013","51.2346","Open","0.00","Timeslips","Time","Pending","0:45:00","(510.10)","1031.22","TIME","0.00","101.10","(1031.22)","3142.62","510.10","0.00","07/27/2013","0.000","1123.02","1031.22","0:00:00","","10","1031.22","10:12:00","0","0","Timekeeper","1559.56","0:06:00","","Slip: t10","T@10","","","0","Hourly","","0.00","0.512346","101.10","10:06:00","0.00","528.34","1","10:12:00"
"10011","Billable","560.22","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","583.41","1143.63","TIME","560.22","102.11","0.00","3372.43","0.00","1143.63","01/02/2013","0.000","1244.43","0.00","11:12:00","","11","1143.63","0:00:00","1","0","Timekeeper","1143.63","0:06:00","01/27/2013","Slip: t11","T@11","","G:12355","0","Hourly","","102.11","0.000000","102.11","11:06:00","1143.63","0.00","1","11:12:00"
"10012","Billable","60.06","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","66.08","126.14","TIME","60.06","105.12","0.00","130.94","0.00","126.14","01/02/2013","0.000","121.34","0.00","1:12:00","","12","126.14","0:00:00","1","0","Timekeeper","126.14","0:06:00","01/27/2013","Slip: t12","T@12","","G:12356","0","Hourly","","105.12","0.000000","105.12","1:06:00","126.14","0.00","1","1:12:00"
"10013","Billable","110.07","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","116.82","226.89","TIME","110.07","103.13","0.00","242.29","0.00","226.89","01/02/2013","0.000","224.69","0.00","2:12:00","","13","226.89","0:00:00","1","0","Timekeeper","226.89","0:06:00","01/27/2013","Slip: t13","T@13","","G:12357","0","Hourly","","103.13","0.000000","103.13","2:06:00","226.89","0.00","1","2:12:00"
"10014","Billable","160.13","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","173.12","333.25","TIME","160.13","104.14","0.00","262.85","0.00","333.25","01/02/2013","0.000","330.05","0.00","3:12:00","","14","333.25","0:00:00","1","0","Timekeeper","333.25","0:06:00","01/27/2013","Slip: t14","T@14","","G:12358","0","Hourly","","104.14","0.000000","104.14","3:06:00","333.25","0.00","1","3:12:00"
"10015","Billable","310.06","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","317.07","627.13","TIME","310.06","101.15","0.00","1036.33","0.00","627.13","01/02/2013","0.000","658.13","0.00","6:12:00","","15","627.13","0:00:00","1","0","Timekeeper","627.13","0:06:00","01/27/2013","Slip: t15","T@15","","G:12359","0","Hourly","","101.15","0.000000","101.15","6:06:00","627.13","0.00","1","6:12:00"
"10016","Override","210.08","0","01/02/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","218.99","429.07","TIME","210.08","102.16","0.00","349.27","0.00","429.07","01/02/2013","0.000","437.47","0.00","4:12:00","","16","429.07","0:00:00","1","0","Timekeeper","429.07","0:06:00","01/27/2013","Slip: t16","T@16","","G:12360","0","Hourly","","102.16","0.000000","102.16","4:06:00","429.07","0.00","1","4:12:00"
"10017","Do Not Bill","260.26","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","(260.26)","546.88","TIME","0.00","105.17","(546.88)","1716.88","260.26","0.00","01/03/2013","0.000","546.88","546.88","0:00:00","","17","546.88","5:12:00","1","0","Timekeeper","546.88","0:06:00","01/27/2013","Slip: t17","T@17","","G:12361","0","Hourly","","0.00","0.000000","105.17","5:06:00","0.00","0.00","1","5:12:00"
"10018","Billable","360.22","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","382.68","742.90","TIME","360.22","103.18","0.00","901.30","0.00","742.90","01/03/2013","0.000","771.70","0.00","7:12:00","","18","742.90","0:00:00","1","0","Timekeeper","742.90","0:06:00","01/27/2013","Slip: t18","T@18","","G:12362","0","Hourly","","103.18","0.000000","103.18","7:06:00","742.90","0.00","1","7:12:00"
"10019","Billable","410.33","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","444.03","854.36","TIME","410.33","104.19","0.00","2256.56","0.00","854.36","01/03/2013","0.000","887.16","0.00","8:12:00","","19","854.36","0:00:00","1","0","Timekeeper","854.36","0:06:00","01/27/2013","Slip: t19","T@19","","G:12363","0","Hourly","","104.19","0.000000","104.19","8:06:00","854.36","0.00","1","8:12:00"
"10020","Override","460.09","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","470.95","931.04","TIME","460.09","101.20","0.00","1023.04","0.00","931.04","01/03/2013","0.000","1004.64","0.00","9:12:00","","20","931.04","0:00:00","1","0","Timekeeper","931.04","0:06:00","01/27/2013","Slip: t20","T@20","","G:12364","0","Hourly","","101.20","0.000000","101.20","9:06:00","931.04","0.00","1","9:12:00"
"10021","No Charge","510.20","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","(510.20)","3233.50","TIME","0.00","317.01","(3233.50)","3233.50","510.20","0.00","01/03/2013","0.000","1122.10","3233.50","0:00:00","","1","1040.50","10:12:00","1","0","Client","3233.50","0:06:00","01/27/2013","Slip: t21","C@1","","G:12365","0","Hourly","","0.00","0.000000","317.01","10:06:00","0.00","0.00","1","10:12:00"
"10022","Billable","560.56","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","(515.54)","45.02","TIME","560.56","4.02","0.00","45.02","0.00","45.02","01/03/2013","0.000","1243.42","0.00","11:12:00","","2","1176.22","0:00:00","1","0","Client","45.02","0:06:00","01/27/2013","Slip: t22","C@2","","G:12366","0","Hourly","","4.02","0.000000","4.02","11:06:00","45.02","0.00","1","11:12:00"
"10023","Billable","60.04","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","0.00","60.04","TIME","60.04","50.03","0.00","60.04","0.00","60.04","01/03/2013","0.000","121.24","0.00","1:12:00","","3","123.64","0:00:00","1","0","Client","60.04","0:06:00","01/27/2013","Slip: t23","C@3","","G:12367","0","Hourly","","50.03","0.000000","50.03","1:06:00","60.04","0.00","1","1:12:00"
"10024","Billable","110.09","0","01/03/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","259.60","369.69","TIME","110.09","168.04","0.00","369.69","0.00","369.69","01/03/2013","0.000","224.49","0.00","2:12:00","","4","228.89","0:00:00","1","0","Client","369.69","0:06:00","01/27/2013","Slip: t24","C@4","","G:12368","0","Hourly","","168.04","0.000000","168.04","2:06:00","369.69","0.00","1","2:12:00"
"10025","Billable","160.03","0","01/04/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","(143.87)","16.16","TIME","160.03","5.05","0.00","16.16","0.00","16.16","01/04/2013","0.000","329.76","0.00","3:12:00","","5","323.36","0:00:00","0","0","Client","16.16","0:06:00","","Slip: t25","C@5","","","1","Hourly","","5.05","0.000000","5.05","3:06:00","16.16","0.00","1","3:12:00"
"10026","Billable","310.12","0","01/04/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","1153.45","1463.57","TIME","310.12","236.06","0.00","1463.57","0.00","1463.57","01/04/2013","0.000","657.57","0.00","6:12:00","","6","632.77","0:00:00","1","0","Client","1463.57","0:06:00","01/27/2013","Slip: t26","C@6","","G:12369","0","Hourly","","236.06","0.000000","236.06","6:06:00","1463.57","0.00","1","6:12:00"
"10027","Override","210.21","0","01/04/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","1058.48","1268.69","TIME","210.21","302.07","0.00","1268.69","0.00","1268.69","01/04/2013","0.000","437.09","0.00","4:12:00","","7","441.29","0:00:00","1","0","Client","1268.69","0:06:00","01/27/2013","Slip: t27","C@7","","G:12370","0","Hourly","","302.07","0.000000","302.07","4:06:00","1268.69","0.00","1","4:12:00"
"10028","Do Not Bill","260.16","0","01/04/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","(260.16)","1815.22","TIME","0.00","349.08","(1815.22)","1815.22","260.16","0.00","01/04/2013","0.000","546.42","1815.22","0:00:00","","8","536.02","5:12:00","1","0","Client","1815.22","0:06:00","01/27/2013","Slip: t28","C@8","","G:12371","0","Hourly","","0.00","0.000000","349.08","5:06:00","0.00","0.00","1","5:12:00"
"10029","Billable","360.29","0","01/04/2013","0.00","Open","0.00","Timeslips Import","Time","Pending","0:00:00","547.56","907.85","TIME","360.29","126.09","0.00","907.85","0.00","907.85","01/04/2013","0.000","771.05","0.00","7:12:00","","9","749.45","0:00:00","1","0","Client","907.85","0:06:00","01/27/2013","Slip: t29","C@9","","G:12372","0","Hourly","","126.09","0.000000","126.09","7:06:00","907.85","0.00","1","7:12:00"
