"Abington","G:12345","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Abington","G:12555","02/27/2013","715.28","0.00","0.00","0.00","0.00","715.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","715.28","0.00","0.00","0.00","0.00","715.28"
"Abington","G:12873","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Abington","G:13178","04/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","2285.54","0.00","0.00","0.00","0.00","2285.54","0.00","0.00","0.00","0.00","0.00","0.00","2285.54","0.00","0.00","0.00","0.00","2285.54"
"Abington","G:13520","05/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","2072.74","0.00","0.00","0.00","0.00","2072.74","0.00","0.00","0.00","0.00","0.00","0.00","2072.74","0.00","0.00","0.00","0.00","2072.74"
"Abington","G:13870","06/27/2013","854.26","0.00","0.00","0.00","0.00","854.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","854.26","0.00","0.00","0.00","0.00","854.26"
"Abington","G:14221","07/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.29","0.00","0.00","0.00","0.00","1.29","1.29","0.00","0.00","0.00","0.00","1.29"
"Acton","G:12346","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","G:12556","02/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","G:12874","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
