"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","85715.11","0.028550","2447.19","88162.30"
"Cleanup Supplies","84372.54","0.070859","5978.56","90351.10"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","116371.55","-0.029325","(3412.62)","112958.93"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","167818.07","0.070858","11891.25","179709.32"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","168525.99","0.026202","4415.76","172941.75"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","111080.64","0.024948","2771.28","113851.92"
"Planting","146803.65","-0.025974","(3813.03)","142990.62"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","57090.25","0.025126","1434.46","58524.71"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","172184.98","0.027616","4755.06","176940.04"
"Wood","138685.80","0.071014","9848.58","148534.38"
