"Abington","01/27/2013","10149","INV","12345","AR-Fees","AR-Fees","127.31","0.00","Charges-Fees","Charges-Fees","0.00","122.41","TaxRec-Fees","TaxRec-Fees","0.00","4.90"
"Abington","01/28/2013","10177","PAY","12345","Cash-Fees","Cash-Fees","101.01","0.00","AR-Fees","AR-Fees","0.00","101.01","TaxRec-Fees","TaxRec-Fees","3.89","0.00","TaxPay-Fees","TaxPay-Fees","0.00","3.89"
"Abington","01/28/2013","10265","CRED","12345","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Abington","01/28/2013","10006","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Acton","01/27/2013","10087","INV","12346","AR-Fees","AR-Fees","240.28","0.00","Charges-Fees","Charges-Fees","0.00","231.04","TaxRec-Fees","TaxRec-Fees","0.00","9.24"
"Acton","01/28/2013","10178","PAY","12346","Cash-Fees","Cash-Fees","102.01","0.00","AR-Fees","AR-Fees","0.00","102.01","TaxRec-Fees","TaxRec-Fees","3.92","0.00","TaxPay-Fees","TaxPay-Fees","0.00","3.92"
"Acton","01/28/2013","10266","CRED","12346","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Acton","01/28/2013","10007","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Acushnet","01/27/2013","10173","INV","12347","AR-Fees","AR-Fees","342.89","0.00","Charges-Fees","Charges-Fees","0.00","329.70","TaxRec-Fees","TaxRec-Fees","0.00","13.19"
"Acushnet","01/28/2013","10179","PAY","12347","Cash-Fees","Cash-Fees","103.01","0.00","AR-Fees","AR-Fees","0.00","103.01","TaxRec-Fees","TaxRec-Fees","3.96","0.00","TaxPay-Fees","TaxPay-Fees","0.00","3.96"
"Acushnet","01/28/2013","10267","CRED","12347","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Acushnet","01/28/2013","10008","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Adams","01/27/2013","10027","INV","12348","AR-Fees","AR-Fees","670.85","0.00","Charges-Fees","Charges-Fees","0.00","645.05","TaxRec-Fees","TaxRec-Fees","0.00","25.80"
"Adams","01/28/2013","10180","PAY","12348","Cash-Fees","Cash-Fees","104.01","0.00","AR-Fees","AR-Fees","0.00","104.01","TaxRec-Fees","TaxRec-Fees","4.00","0.00","TaxPay-Fees","TaxPay-Fees","0.00","4.00"
"Adams","01/28/2013","10268","CRED","12348","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Adams","01/28/2013","10009","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Agawam","01/27/2013","10001","INV","12349","AR-Fees","AR-Fees","441.39","0.00","Charges-Fees","Charges-Fees","0.00","424.41","TaxRec-Fees","TaxRec-Fees","0.00","16.98"
"Agawam","01/28/2013","10181","PAY","12349","Cash-Fees","Cash-Fees","105.01","0.00","AR-Fees","AR-Fees","0.00","105.01","TaxRec-Fees","TaxRec-Fees","4.04","0.00","TaxPay-Fees","TaxPay-Fees","0.00","4.04"
"Agawam","01/28/2013","10269","CRED","12349","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Agawam","01/28/2013","10010","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Amesbury","01/27/2013","10113","INV","12351","AR-Fees","AR-Fees","299.41","0.00","Charges-Fees","Charges-Fees","0.00","377.32","WD-Fees","WD-Fees","89.43","0.00","TaxRec-Fees","TaxRec-Fees","0.00","11.52"
"Amherst","01/27/2013","10003","INV","12352","AR-Fees","AR-Fees","346.23","0.00","Charges-Fees","Charges-Fees","0.00","421.59","WD-Fees","WD-Fees","88.68","0.00","TaxRec-Fees","TaxRec-Fees","0.00","13.32"
"Amherst","01/28/2013","10270","CRED","12352","Credit-Fees","Credit-Fees","0.97","0.00","AR-Fees","AR-Fees","0.00","1.01","TaxRec-Fees","TaxRec-Fees","0.04","0.00"
"Andover","01/27/2013","10103","INV","12353","AR-Fees","AR-Fees","1436.69","0.00","Charges-Fees","Charges-Fees","0.00","1448.27","WD-Fees","WD-Fees","66.84","0.00","TaxRec-Fees","TaxRec-Fees","0.00","55.26"
"Andover","01/28/2013","10182","PAY","12353","Cash-Fees","Cash-Fees","109.01","0.00","AR-Fees","AR-Fees","0.00","109.01","TaxRec-Fees","TaxRec-Fees","4.19","0.00","TaxPay-Fees","TaxPay-Fees","0.00","4.19"
"Arlington","01/27/2013","10154","INV","12355","AR-Fees","AR-Fees","1189.38","0.00","Charges-Fees","Charges-Fees","0.00","1143.63","TaxRec-Fees","TaxRec-Fees","0.00","45.75"
"Arlington","01/28/2013","10011","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Ashburnham","01/27/2013","10061","INV","12356","AR-Fees","AR-Fees","131.19","0.00","Charges-Fees","Charges-Fees","0.00","126.14","TaxRec-Fees","TaxRec-Fees","0.00","5.05"
"Ashby","01/27/2013","10062","INV","12357","AR-Fees","AR-Fees","235.97","0.00","Charges-Fees","Charges-Fees","0.00","226.89","TaxRec-Fees","TaxRec-Fees","0.00","9.08"
"Ashfield","01/27/2013","10048","INV","12358","AR-Fees","AR-Fees","346.58","0.00","Charges-Fees","Charges-Fees","0.00","333.25","TaxRec-Fees","TaxRec-Fees","0.00","13.33"
"Ashfield","01/28/2013","10183","PAY","12358","Cash-Fees","Cash-Fees","114.01","0.00","AR-Fees","AR-Fees","0.00","114.01","TaxRec-Fees","TaxRec-Fees","4.39","0.00","TaxPay-Fees","TaxPay-Fees","0.00","4.39"
"Ashland","01/27/2013","10088","INV","12359","AR-Fees","AR-Fees","652.22","0.00","Charges-Fees","Charges-Fees","0.00","627.13","TaxRec-Fees","TaxRec-Fees","0.00","25.09"
"Athol","01/27/2013","10049","INV","12360","AR-Fees","AR-Fees","446.23","0.00","Charges-Fees","Charges-Fees","0.00","429.07","TaxRec-Fees","TaxRec-Fees","0.00","17.16"
"Attleboro","01/28/2013","10271","CRED","","Credit-Comp","Credit-Comp","1.01","0.00","Suspense","Suspense","0.00","1.01"
"Attleboro","01/28/2013","10012","PAYT","","CashEscIn-Comp","CashEscIn-Comp","25.01","0.00","ClientEscrow-Comp","ClientEscrow-Comp","0.00","25.01"
"Auburn","01/27/2013","10069","INV","12362","AR-Fees","AR-Fees","772.62","0.00","Charges-Fees","Charges-Fees","0.00","742.90","TaxRec-Fees","TaxRec-Fees","0.00","29.72"
"Avon","01/27/2013","10141","INV","12363","AR-Fees","AR-Fees","888.53","0.00","Charges-Fees","Charges-Fees","0.00","854.36","TaxRec-Fees","TaxRec-Fees","0.00","34.17"
"Avon","01/28/2013","10184","PAY","12363","Cash-Fees","Cash-Fees","119.01","0.00","AR-Fees","AR-Fees","0.00","119.01","TaxRec-Fees","TaxRec-Fees","4.58","0.00","TaxPay-Fees","TaxPay-Fees","0.00","4.58"
