"Bedford","1:12:00","201.65","0.00","201.65"
"Belchertown","3:12:00","16.16","0.00","16.16"
"Burlington","6:12:00","657.76","0.00","657.76"
"Cambridge","5:12:00","0.00","0.00","0.00"
"Dedham","7:12:00","728.21","0.00","728.21"
"Deerfield","9:12:00","930.58","0.00","930.58"
"Florida","10:12:00","0.00","0.00","0.00"
"Foxborough","1:12:00","289.44","0.00","289.44"
"Harvard","6:12:00","626.51","0.00","626.51"
"Lee","7:12:00","439.92","0.00","439.92"
"Medfield","10:12:00","0.00","0.00","0.00"
"New Ashford","2:12:00","222.64","0.00","222.64"
"Otis","4:12:00","437.01","0.00","437.01"
"Rochester","8:12:00","829.02","0.00","829.02"
"South.Hadley","11:12:00","382.48","0.00","382.48"
"Truro","3:12:00","330.24","0.00","330.24"
"Wales","On all bills until $1000.00","0.00","0.00"
"Walpole","On all bills until $1000.00 or 10.00 hours","0:00:00","0.00","0.00","0.00"
"West.Springfield","5:12:00","0.00","0.00","0.00"
"Wrentham","9:12:00","1003.72","0.00","1003.72"
