"Abington","","Undoable","G:15620","11/27/2013","1178.66"
"Acton","","Undoable","G:15621","11/27/2013","35.32"
"Acushnet","","Undoable","G:15622","11/27/2013","1639.89"
"Adams","","Undoable","G:15623","11/27/2013","2045.14"
"Agawam","","Undoable","G:15624","11/27/2013","2110.55"
"Alford","","Undoable","G:15625","11/27/2013","2737.95"
"Amesbury","","Undoable","G:15626","11/27/2013","4649.87"
"Amherst","","Undoable","G:15627","11/27/2013","622.45"
"Andover","","Undoable","G:15628","11/27/2013","1983.15"
"Aquinnah","","Undoable","G:15629","11/27/2013","23.97"
"Arlington","","Undoable","G:15630","11/27/2013","950.47"
"Ashburnham","","Undoable","G:15631","11/27/2013","1181.14"
"Ashby","","Undoable","G:15632","11/27/2013","36.77"
"Ashfield","","Undoable","G:15633","11/27/2013","1640.29"
"Ashland","","Undoable","G:15634","11/27/2013","1870.42"
"Athol","","Undoable","G:15635","11/27/2013","2109.00"
"Attleboro","","Undoable","G:15636","11/27/2013","2344.80"
"Auburn","","Undoable","G:15637","11/27/2013","14.81"
"Avon","","Undoable","G:15638","11/27/2013","262.94"
"Ayer","","Undoable","G:15639","11/27/2013","485.79"
"Barnstable","","Undoable","G:15640","11/27/2013","36.94"
"Barre","","Undoable","G:15641","11/27/2013","934.19"
"Becket","","Undoable","G:15642","11/27/2013","1164.09"
"Bedford","","Undoable","G:15643","11/27/2013","41.71"
"Belchertown","","Undoable","G:15644","11/27/2013","1659.66"
"Bellingham","","Undoable","G:15645","11/27/2013","1882.87"
"Belmont","","Undoable","G:15646","11/27/2013","2129.46"
"Berkley","","Undoable","G:15647","11/27/2013","2353.28"
"Berlin","","Undoable","G:15648","11/27/2013","2585.66"
"Bernardston","","Undoable","G:15649","11/27/2013","262.97"
"Beverly","","Undoable","G:15650","11/27/2013","278.80"
"Billerica","","Undoable","G:15651","11/27/2013","29.40"
"Blackstone","","Undoable","G:15652","11/27/2013","952.46"
"Blandford","","Undoable","G:15653","11/27/2013","1168.79"
"Bolton","","Undoable","G:15654","11/27/2013","42.51"
"Boston","","Undoable","G:15655","11/27/2013","1650.30"
"Bourne","","Undoable","G:15656","11/27/2013","1889.19"
"Boxborough","","Undoable","G:15657","11/27/2013","2115.28"
"Boxford","","Undoable","G:15658","11/27/2013","2348.52"
"Boylston","","Undoable","G:15659","11/27/2013","2585.58"
"Braintree","","Undoable","G:15660","11/27/2013","265.06"
"Brewster","","Undoable","G:15661","11/27/2013","489.07"
"Bridgewater","","Undoable","G:15662","11/27/2013","24.15"
"Brimfield","","Undoable","G:15663","11/27/2013","946.00"
"Brockton","","Undoable","G:15664","11/27/2013","1177.95"
"Brookfield","","Undoable","G:15665","11/27/2013","32.19"
"Brookline","","Undoable","G:15666","11/27/2013","1628.94"
"Buckland","","Undoable","G:15667","11/27/2013","1868.63"
"Burlington","","Undoable","G:15668","11/27/2013","2106.30"
"Cambridge","","Undoable","G:15669","11/27/2013","2344.65"
"Canton","","Undoable","G:15670","11/27/2013","2584.22"
"Carlisle","","Undoable","G:15671","11/27/2013","264.98"
"Carver","","Undoable","G:15672","11/27/2013","488.71"
"Charlemont","","Undoable","G:15673","11/27/2013","24.03"
"Charlton","","Undoable","G:15674","11/27/2013","950.83"
"Chatham","","Undoable","G:15675","11/27/2013","1181.42"
"Chelmsford","","Undoable","G:15676","11/27/2013","36.56"
"Chelsea","","Undoable","G:15677","11/27/2013","1639.97"
"Cheshire","","Undoable","G:15678","11/27/2013","1870.45"
"Chester","","Undoable","G:15679","11/27/2013","2170.20"
"Chesterfield","","Undoable","G:15680","11/27/2013","2344.79"
"Chicopee","","Undoable","G:15681","11/27/2013","2584.36"
"Chilmark","","Undoable","G:15682","11/27/2013","264.79"
"Clarksburg","","Undoable","G:15683","11/27/2013","488.48"
"Clinton","","Undoable","G:15684","11/27/2013","23.76"
"Cohasset","","Undoable","G:15685","11/27/2013","950.37"
"Colrain","","Undoable","G:15686","11/27/2013","1180.94"
"Concord","","Undoable","G:15687","11/27/2013","36.55"
"Conway","","Undoable","G:15688","11/27/2013","1632.15"
"Cummington","","Undoable","G:15689","11/27/2013","1869.87"
"Dalton","","Undoable","G:15690","11/27/2013","2128.61"
"Danvers","","Undoable","G:15691","11/27/2013","2345.21"
"Dartmouth","","Undoable","G:15692","11/27/2013","2579.78"
"Dedham","","Undoable","G:15693","11/27/2013","261.95"
"Deerfield","","Undoable","G:15694","11/27/2013","484.61"
"Dennis","","Undoable","G:15695","11/27/2013","24.39"
"Dighton","","Undoable","G:15696","11/27/2013","950.93"
"Douglas","","Undoable","G:15697","11/27/2013","1181.52"
"Dover","","Undoable","G:15698","11/27/2013","36.99"
"Dracut","","Undoable","G:15699","11/27/2013","1639.52"
"Dudley","","Undoable","G:15700","11/27/2013","1874.69"
"Dunstable","","Undoable","G:15701","11/27/2013","2117.62"
"Duxbury","","Undoable","G:15702","11/27/2013","2350.20"
"East.Bridgewater","*","Undoable","G:15703","11/27/2013","2589.04"
"East.Brookfield","*","Undoable","G:15704","11/27/2013","267.97"
"East.Longmeadow","*","Undoable","G:15705","11/27/2013","474.62"
"Eastham","","Undoable","G:15706","11/27/2013","36.60"
"Easthampton","","Undoable","G:15707","11/27/2013","942.30"
