"Abington","05/27/2013","0.00","0.00","0.00","0.00","(103.04)","5280.72","","0.00","0.00","1.99","0.00","(5.05)","1.99","0:00:00","0:00:00","0.00","0.00","0.00","(108.09)","0.00","0.00","0.00","5174.62"
"Acton","05/27/2013","0.00","0.00","0.00","0.00","(105.04)","4770.79","","0.00","0.00","2.99","0.00","(5.05)","2.99","0:00:00","0:00:00","0.00","0.00","0.00","(110.09)","0.00","0.00","0.00","4663.69"
"Acushnet","05/27/2013","0.00","0.00","0.00","0.00","(107.04)","2896.55","","0.00","0.00","3.99","0.00","(5.05)","3.99","0:00:00","0:00:00","0.00","0.00","0.00","(112.09)","0.00","0.00","0.00","2788.45"
"Adams","05/27/2013","0.00","0.00","0.00","0.00","(129.10)","1101.28","05/27/2013","214.09","0.00","4.99","0.00","(5.05)","175.93","0:00:00","0:00:00","0.00","0.00","0.00","(134.15)","6.97","(50.12)","0.00","1143.06"
"Agawam","05/27/2013","0.00","0.00","0.00","0.00","(111.04)","1073.59","05/27/2013","0.00","959.40","5.99","0.00","(5.05)","5.99","0:00:00","0:00:00","0.00","0.00","0.00","(116.09)","0.00","0.00","0.00","963.49"
"Alford","05/27/2013","0.00","802.62","0.00","0.00","0.00","1127.17","05/27/2013","419.72","0.00","0.00","0.00","0.00","385.31","0:00:00","5:12:00","0.00","0.00","0.00","0.00","15.71","(50.12)","0.00","1512.48"
"Amesbury","05/27/2013","338.02","39.30","0.00","0.00","(25.05)","5747.39","05/27/2013","1588.95","0.00","0.00","51.23","0.00","2009.30","6:27:00","0:45:00","11.52","(89.43)","0.00","(25.05)","69.71","0.00","0.00","7731.64"
"Amherst","05/27/2013","383.03","38.56","0.00","0.00","0.00","3548.97","05/27/2013","0.00","1908.26","0.00","0.00","0.00","346.23","7:27:00","0:45:00","13.32","(88.68)","0.00","0.00","0.00","0.00","0.00","3895.20"
"Andover","05/27/2013","1330.20","118.07","0.00","0.00","0.00","9600.52","05/27/2013","0.00","0.00","0.00","0.00","0.00","1436.69","8:27:00","0:45:00","55.26","(66.84)","0.00","0.00","0.00","0.00","0.00","11037.21"
"Aquinnah","05/27/2013","0.00","1559.56","0.00","0.00","(110.05)","4435.80","05/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","10:12:00","0.00","0.00","0.00","(110.05)","0.00","0.00","0.00","4325.75"
"Ashby","05/27/2013","0.00","0.00","0.00","0.00","0.00","5164.77","","0.00","0.00","0.00","0.00","(5.05)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(5.05)","0.00","0.00","0.00","5159.72"
"Ashland","05/27/2013","0.00","0.00","0.00","0.00","(115.05)","1698.27","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(115.05)","0.00","0.00","0.00","1583.22"
"Ayer","05/27/2013","0.00","0.00","0.00","0.00","(120.05)","3473.36","","0.00","0.00","0.00","0.00","0.00","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(120.05)","0.00","0.00","0.00","3353.31"
"Barre","05/27/2013","0.00","0.00","0.00","0.00","0.00","1996.00","","0.00","0.00","0.00","0.00","(5.05)","0.00","0:00:00","0:00:00","0.00","0.00","0.00","(5.05)","0.00","0.00","0.00","1990.95"
