"Alford","0.00","0.00","0.00","0.00","0.00"
"Amesbury","287.89","0.00","287.89","0.00","287.89"
"Amherst","332.91","0.00","332.91","0.00","332.91"
"Andover","1381.43","0.00","1381.43","0.00","1381.43"
"Aquinnah","0.00","0.00","0.00","0.00","0.00"
"Bedford","201.65","0.00","201.65","0.00","201.65"
"Belchertown","16.16","0.00","16.16","0.00","16.16"
"Burlington","657.76","0.00","657.76","0.00","657.76"
"Cambridge","0.00","0.00","0.00","0.00","0.00"
"Dedham","728.21","0.00","728.21","0.00","728.21"
"Deerfield","930.58","0.00","930.58","0.00","930.58"
"Florida","0.00","0.00","0.00","0.00","0.00"
"Foxborough","289.44","0.00","289.44","0.00","289.44"
"Harvard","626.51","0.00","626.51","0.00","626.51"
"Lee","439.92","0.00","439.92","0.00","439.92"
"Medfield","0.00","0.00","0.00","0.00","0.00"
"New Ashford","222.64","0.00","222.64","0.00","222.64"
"Otis","437.01","0.00","437.01","0.00","437.01"
"Rochester","829.02","0.00","829.02","0.00","829.02"
"South.Hadley","382.48","0.00","382.48","0.00","382.48"
"Truro","330.24","0.00","330.24","0.00","330.24"
"West.Springfield","0.00","0.00","0.00","0.00","0.00"
"Wrentham","1003.72","0.00","1003.72","0.00","1003.72"
