"Client Nickname 1","Cost Balance","Current Period w/Unapplied Payments","Fee Balance","Interest Balance","30 Days Total","60 Days Total","90 Days Total","120 Days Total","150 Days Total","180 Days Total","Previous Balance","Total Balance","Balance Due","Days Since Last Bill","Finance Charge","Finance Charge Description","Finance Charge Type","Finance Charge Value","Hold Type A/R Transactions","Hourly Rate","Hours Billed To Date","Percent Interest Annual Rate","Interest Charge At","Interest Grace Period","Interest Type","Invoice Number Format","Invoice Number Next","Invoice Number Type","Last Bill Date","Last Payment Amount","Last Payment Check","Last Payment Date","Last Payment ID","Last Payment Type","% Total Markup/Discount Value","Minimum Hours","New Charges Costs","New Charges Fees","New Charges Interest","New Charges Total","New Receivables","Overdue Balance","Payment Distrib: First Pay In Full","Payment Distrib: First Pay Invoice","Payment Distrib: Order of Charges","Payment Distrib: Require Manual","Payments Not Yet Applied Portion","Prorate Under Min Hours","Record Count",
"Abington","4358.28","759.73","2228.20","0.00","0.00","854.26","2072.74","2899.75","0.00","0.00","6586.48","6586.48","7736.55","0","0.00","Finance charge for: Abington: Month: 7","None","1.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","25.07","","08/27/2013","3,990","Unknown","0.000000","0:00:00","1150.07","0.00","0.00","1150.07","0.00","5826.75","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acton","4459.56","890.16","1857.96","0.00","0.00","967.80","2310.55","2149.01","0.00","0.00","6317.52","6317.52","7932.01","0","0.00","Finance charge for: Acton: Month: 7","None","2.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","25.07","","08/27/2013","3,850","Unknown","0.000000","0:00:00","1614.49","0.00","0.00","1614.49","0.00","5427.36","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acushnet","2569.19","956.35","956.35","0.00","0.00","0.00","2531.83","37.36","0.00","0.00","3525.54","3525.54","6990.02","0","0.00","Finance charge for: Acushnet: Month: 7","None","3.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","44.35","","08/27/2013","4,056","Unknown","0.000000","0:00:00","3464.48","0.00","0.00","3464.48","0.00","2569.19","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Adams","991.49","160.57","1455.36","0.00","152.99","1349.24","396.25","387.80","0.00","0.00","2446.85","2446.85","6555.46","0","0.00","Finance charge for: Adams: Month: 7","None","4.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","25.07","","08/27/2013","3,707","Unknown","0.000000","0:00:00","4108.61","0.00","0.00","4108.61","0.00","2286.28","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Agawam","416.93","1146.49","1584.67","0.00","0.00","101.75","416.93","336.43","0.00","0.00","2001.60","2001.60","6416.84","0","0.00","Finance charge for: Agawam: Month: 7","None","5.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","40.16","","08/27/2013","3,630","Unknown","0.000000","0:00:00","4415.24","0.00","0.00","4415.24","0.00","855.11","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Alford","1908.68","521.67","708.42","20.50","367.44","621.32","388.35","738.82","0.00","0.00","2637.60","2637.60","7920.10","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","25.06","","07/27/2013","3,126","Unknown","0.000000","0:00:00","5282.50","0.00","0.00","5282.50","0.00","2115.93","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amesbury","9469.96","2292.74","2867.57","93.51","2042.57","2348.34","2941.98","2805.41","0.00","0.00","12431.04","12431.04","17257.51","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","25.05","","06/27/2013","2,743","Unknown","0.000000","0:00:00","4527.06","299.41","0.00","4826.47","0.00","10138.30","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amherst","1133.53","709.85","4352.70","68.46","365.08","1038.86","1479.76","1961.14","0.00","0.00","5554.69","5554.69","6618.32","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","108.07","","07/28/2013","3,499","Japan Credit Bureau (JCB)","0.000000","0:00:00","717.40","346.23","0.00","1063.63","0.00","4844.84","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Andover","1614.49","2162.65","13259.01","191.99","1483.62","1927.76","1470.10","8021.36","0.00","0.00","15065.49","15065.49","16972.05","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","109.06","","06/28/2013","2,915","Discover","0.000000","0:00:00","469.87","1436.69","0.00","1906.56","0.00","12902.84","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Aquinnah","3447.36","460.12","1308.44","66.29","17.85","18.37","1626.04","2699.71","0.00","0.00","4822.09","4822.09","5743.24","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","08/27/2013","110.05","","05/28/2013","2,330","Master Card","0.000000","0:00:00","921.15","0.00","0.00","921.15","0.00","4361.97","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
