"Transaction ID","Transaction Type (Short)","Timekeeper Nickname 1","Time Spent (optional rounding)","Rate Value","Rate Type","Transaction Date","Activity Nickname 1","Quantity","Price","Slip Value","Billing Status","Client Nickname 1","Description","Reference Nickname 1",
"10001","TIME","CoreyM","1:12:00","102.01","Hourly","01/01/2013","Build Structure","0.000","0.00","122.41","Billable","Abington","Create something new","AAA-Project"
"10002","TIME","JamesR","2:12:00","105.02","Hourly","01/01/2013","DemoS","0.000","0.00","231.04","Billable","Acton","Rip down something old","ACTON-Project01"
"10003","TIME","SamS","3:12:00","103.03","Hourly","01/01/2013","Fix","0.000","0.00","329.70","Billable","Acushnet","Take something old and make it better","ACUSH-Project02"
"10004","TIME","ShawnR","6:12:00","104.04","Hourly","01/01/2013","DesignS","0.000","0.00","645.05","Billable","Adams","Noodle about a new structure","EEE-Project"
"10005","TIME","TomH","4:12:00","101.05","Hourly","01/01/2013","Bid","0.000","0.00","424.41","Override","Agawam","Promise you can do something great","III-Project"
"10006","TIME","CoreyM","5:12:00","102.06","Hourly","03/27/2013","Clean","0.000","0.00","530.71","Do Not Bill","Alford","Take away wreckage and trash and then sweep up","OOO-Project"
"10007","TIME","JamesR","7:12:00","105.07","Hourly","03/27/2013","DesignL","0.000","0.00","756.50","Override","Amesbury","Noodle about landscape","UUU-Project"
"10008","TIME","SamS","8:12:00","103.08","Hourly","03/27/2013","Planting","0.000","0.00","845.26","Override","Amherst","Plant all kinds of stuff",""
"10009","TIME","ShawnR","9:12:00","104.09","Hourly","03/27/2013","Lot Maintenance","0.000","0.00","957.63","Override","Andover","Mow, trim, dig up, and spread","AAA-Project"
"10010","TIME","TomH","10:12:00","101.10","Hourly","03/27/2013","Water Feature","0.000","0.00","1031.22","No Charge","Aquinnah","Make something splash and flow","AQUIN-Project01"
"10011","TIME","CoreyM","11:12:00","102.11","Hourly","01/02/2013","Pave","0.000","0.00","1143.63","Billable","Arlington","Create pretty pattern with stones","ARLIN-Project02"
"10012","TIME","JamesR","1:12:00","105.12","Hourly","01/02/2013","Build Structure","0.000","0.00","126.14","Billable","Ashburnham","Create something new","EEE-Project"
"10013","TIME","SamS","2:12:00","103.13","Hourly","01/02/2013","DemoS","0.000","0.00","226.89","Billable","Ashby","Rip down something old","III-Project"
"10014","TIME","ShawnR","3:12:00","104.14","Hourly","01/02/2013","Fix","0.000","0.00","333.25","Billable","Ashfield","Take something old and make it better","OOO-Project"
"10015","TIME","TomH","6:12:00","101.15","Hourly","01/02/2013","DesignS","0.000","0.00","627.13","Billable","Ashland","Noodle about a new structure","UUU-Project"
"10016","TIME","CoreyM","4:12:00","102.16","Hourly","01/02/2013","Bid","0.000","0.00","429.07","Override","Athol","Promise you can do something great",""
"10017","TIME","JamesR","5:12:00","105.17","Hourly","01/03/2013","Clean","0.000","0.00","546.88","Do Not Bill","Attleboro","Take away wreckage and trash and then sweep up","AAA-Project"
"10018","TIME","SamS","7:12:00","103.18","Hourly","01/03/2013","DesignL","0.000","0.00","742.90","Billable","Auburn","Noodle about landscape","AUBUR-Project01"
"10019","TIME","ShawnR","8:12:00","104.19","Hourly","01/03/2013","Planting","0.000","0.00","854.36","Billable","Avon","Plant all kinds of stuff","AVON-Project02"
"10020","TIME","TomH","9:12:00","101.20","Hourly","01/03/2013","Lot Maintenance","0.000","0.00","931.04","Override","Ayer","Mow, trim, dig up, and spread","EEE-Project"
"10021","TIME","CoreyM","10:12:00","317.01","Hourly","01/03/2013","Water Feature","0.000","0.00","3233.50","No Charge","Barnstable","Make something splash and flow","III-Project"
"10022","TIME","JamesR","11:12:00","4.02","Hourly","01/03/2013","Pave","0.000","0.00","45.02","Billable","Barre","Create pretty pattern with stones","OOO-Project"
"10023","TIME","SamS","1:12:00","50.03","Hourly","01/03/2013","Build Structure","0.000","0.00","60.04","Billable","Becket","Create something new","UUU-Project"
"10024","TIME","ShawnR","2:12:00","168.04","Hourly","01/03/2013","DemoS","0.000","0.00","369.69","Billable","Bedford","Rip down something old",""
"10025","TIME","TomH","3:12:00","5.05","Hourly","01/04/2013","Fix","0.000","0.00","16.16","Billable","Belchertown","Take something old and make it better","AAA-Project"
"10026","TIME","CoreyM","6:12:00","236.06","Hourly","01/04/2013","DesignS","0.000","0.00","1463.57","Billable","Bellingham","Noodle about a new structure","BELLI-Project01"
"10027","TIME","JamesR","4:12:00","302.07","Hourly","01/04/2013","Bid","0.000","0.00","1268.69","Override","Belmont","Promise you can do something great","BELMO-Project02"
"10028","TIME","SamS","5:12:00","349.08","Hourly","01/04/2013","Clean","0.000","0.00","1815.22","Do Not Bill","Berkley","Take away wreckage and trash and then sweep up","EEE-Project"
"10029","TIME","ShawnR","7:12:00","126.09","Hourly","01/04/2013","DesignL","0.000","0.00","907.85","Billable","Berlin","Noodle about landscape","III-Project"
"10030","TIME","TomH","8:12:00","85.10","Hourly","01/04/2013","Planting","0.000","0.00","697.82","Billable","Bernardston","Plant all kinds of stuff","OOO-Project"
"10031","TIME","CoreyM","5:58:48","215.11","Hourly","01/04/2013","Lot Maintenance","0.000","0.00","1286.36","Override","Beverly","Mow, trim, dig up, and spread","UUU-Project"
"10032","TIME","JamesR","10:12:00","190.12","Hourly","01/04/2013","Water Feature","0.000","0.00","1939.22","No Charge","Billerica","Make something splash and flow",""
"10033","TIME","SamS","11:12:00","127.13","Hourly","01/05/2013","Pave","0.000","0.00","1423.86","Billable","Blackstone","Create pretty pattern with stones","AAA-Project"
"10034","TIME","ShawnR","1:12:00","6.14","Hourly","01/05/2013","Build Structure","0.000","0.00","7.37","Billable","Blandford","Create something new","BLAND-Project01"
"10035","TIME","TomH","2:12:00","169.15","Hourly","01/05/2013","DemoS","0.000","0.00","372.13","Billable","Bolton","Rip down something old","BOLTO-Project02"
"10036","TIME","CoreyM","3:12:00","259.16","Hourly","01/05/2013","Fix","0.000","0.00","829.31","Billable","Boston","Take something old and make it better","EEE-Project"
"10037","TIME","JamesR","6:12:00","306.17","Hourly","01/05/2013","DesignS","0.000","0.00","1898.25","Billable","Bourne","Noodle about a new structure","III-Project"
"10038","TIME","SamS","4:12:00","165.18","Hourly","01/05/2013","Bid","0.000","0.00","693.76","Override","Boxborough","Promise you can do something great","OOO-Project"
"10039","TIME","ShawnR","5:12:00","216.19","Hourly","01/05/2013","Clean","0.000","0.00","1124.19","Do Not Bill","Boxford","Take away wreckage and trash and then sweep up","UUU-Project"
"10040","TIME","TomH","7:12:00","128.20","Hourly","01/05/2013","DesignL","0.000","0.00","923.04","Billable","Boylston","Noodle about landscape",""
"10041","TIME","CoreyM","8:12:00","108.01","Hourly","01/06/2013","Planting","0.000","0.00","885.68","Billable","Braintree","Plant all kinds of stuff","AAA-Project"
