"BA-Absolute-Both","","Undoable","G:12355","12/27/2013","2637.84"
"BA-Absolute-Exp","","Undoable","G:12354","12/27/2013","2764.21"
"BA-Absolute-NoSlips","","Undoable","G:12358","12/27/2013","1040.00"
"BA-Absolute-Time","","Undoable","G:12353","12/27/2013","3556.80"
"BA-AdjExpense","","Undoable","G:12352","12/27/2013","2873.15"
"BA-AdjTask","","Undoable","G:12351","12/27/2013","2674.37"
"BA-AdjTK-Both","","Undoable","G:12350","12/27/2013","2674.37"
"BA-AdjTK-Exp","","Undoable","G:12349","12/27/2013","2873.15"
"BA-AdjTK-Time","","Undoable","G:12348","12/27/2013","2674.37"
"BA-AdjTot-Both","","Undoable","G:12347","12/27/2013","2904.66"
"BA-AdjTot-Exp","","Undoable","G:12346","12/27/2013","2873.15"
"BA-AdjTot-Time","","Undoable","G:12345","12/27/2013","2674.37"
"BA-Cont-Both","","Undoable","G:12373","12/27/2013","2116.74"
"BA-Cont-Exp","","Undoable","G:12371","12/27/2013","2242.96"
"BA-Cont-Time","","Undoable","G:12369","12/27/2013","3556.80"
"BA-FFPlus-Both","","Undoable","G:12367","12/27/2013","3163.96"
"BA-FFPlus-Exp","","Undoable","G:12366","12/27/2013","3164.11"
"BA-FFPlus-Time","","Undoable","G:12365","12/27/2013","3162.86"
"BA-InterimAct","","Undoable","G:12389","12/27/2013","3244.80"
"BA-InterimTot","","Undoable","G:12386","12/27/2013","3244.80"
"BA-Maximum-Both","","Undoable","G:12364","12/27/2013","2116.74"
"BA-Maximum-Exp","","Undoable","G:12363","12/27/2013","2242.96"
"BA-Maximum-Time","","Undoable","G:12362","12/27/2013","2642.86"
"BA-Minimum-Both","","Undoable","G:12361","12/27/2013","6806.63"
"BA-Minimum-Exp","","Undoable","G:12360","12/27/2013","6934.21"
"BA-Minimum-Time","","Undoable","G:12359","12/27/2013","7716.80"
"BA-MinimumHours","","Undoable","G:12374","12/27/2013","3660.80"
"BA-Percent","","Undoable","G:12377","12/27/2013","2724.80"
"BA-Precision","","Undoable","G:12392","12/27/2013","2642.86"
"BA-ProgressAct","","Undoable","G:12383","12/27/2013","3244.80"
"BA-ProgressTot","","Undoable","G:12380","12/27/2013","3244.80"
"BA-ReplaceExpA","","Undoable","G:12396","12/27/2013","9129.45"
"BA-ReplaceTimeA","","Undoable","G:12393","12/27/2013","9129.45"
"BA-ReplaceTimeB","","Undoable","G:12394","12/27/2013","9129.45"
"BA-ReplaceTimeC","","Undoable","G:12395","12/27/2013","9129.45"
"BA-RoundDol","","Undoable","G:12391","12/27/2013","2648.42"
"BA-RoundMin","","Undoable","G:12390","12/27/2013","2653.41"
