"Default","","Not Billed","0.00","0.00","0.00"
"Abington","06/27/2013","0","5927.82","1915.91","7818.67"
"Acton","06/27/2013","0","5529.43","2513.09","8017.46"
"Acushnet","06/27/2013","0","2679.33","4454.27","7099.32"
"Adams","06/27/2013","0","2237.36","4113.60","6325.90"
"Agawam","06/27/2013","0","967.25","5598.26","6540.45"
"Alford","06/27/2013","0","1748.49","5409.87","7133.30"
"Amesbury","06/27/2013","0","8095.73","5066.86","13162.59"
"Amherst","06/27/2013","0","4587.83","1406.68","5994.51"
"Andover","06/27/2013","0","11419.22","2577.73","13996.95"
"Aquinnah","06/27/2013","0","4344.12","1362.75","5706.87"
"Arlington","06/27/2013","0","5797.05","2071.22","7868.27"
"Ashburnham","06/27/2013","0","6549.88","1937.20","8462.02"
"Ashby","06/27/2013","0","6162.47","2493.99","8656.46"
"Ashfield","06/27/2013","0","3159.53","4460.89","7620.42"
"Ashland","06/27/2013","0","2803.08","3937.67","6740.75"
"Athol","06/27/2013","0","1598.68","5605.20","7203.88"
"Attleboro","06/27/2013","0","1475.25","5028.45","6503.70"
"Auburn","06/27/2013","0","3103.56","3053.25","6131.75"
"Avon","06/27/2013","0","3232.01","1064.15","4296.16"
"Ayer","06/27/2013","0","3811.93","1122.41","4934.34"
"Barnstable","06/27/2013","0","6416.74","2305.85","8722.59"
"Barre","06/27/2013","0","1999.40","3951.31","5950.71"
"Becket","06/27/2013","0","2598.12","4278.91","6877.03"
"Bedford","06/27/2013","0","5067.39","4865.06","9907.39"
"Belchertown","06/27/2013","0","2702.79","3529.60","6218.82"
"Bellingham","06/27/2013","0","2921.56","6687.29","9608.85"
"Belmont","06/27/2013","0","3644.88","8310.73","11955.61"
"Berkley","06/27/2013","0","2323.49","6131.56","8455.05"
"Berlin","06/27/2013","0","2762.59","3555.29","6317.88"
"Bernardston","06/27/2013","0","2437.90","1549.34","3962.18"
"Beverly","06/27/2013","0","3353.91","2796.50","6139.60"
"Billerica","06/27/2013","0","5205.54","1751.59","6957.13"
"Blackstone","06/27/2013","0","5333.25","3023.17","8356.42"
"Blandford","06/27/2013","0","4262.26","1248.41","5510.67"
"Bolton","06/27/2013","0","5376.20","4675.43","10051.63"
"Boston","06/27/2013","0","4176.20","5944.12","10095.26"
"Bourne","06/27/2013","0","3619.37","7503.93","11113.62"
"Boxborough","06/27/2013","0","2125.65","6545.41","8671.06"
"Boxford","06/27/2013","0","1577.12","5661.65","7238.77"
"Boylston","06/27/2013","0","2893.79","3537.14","6430.93"
"Braintree","06/27/2013","0","2738.08","1743.77","4481.85"
"Brewster","06/27/2013","0","3482.38","1607.84","5065.16"
"Bridgewater","06/27/2013","0","4381.22","1375.56","5750.34"
"Brimfield","06/27/2013","0","4966.13","2872.74","7838.87"
"Brockton","06/27/2013","0","5716.32","2873.11","8589.43"
"Brookfield","06/27/2013","0","5122.69","3579.51","8702.20"
"Brookline","06/27/2013","0","662.84","7077.70","7740.54"
"Buckland","06/27/2013","0","1139.04","5701.39","6815.37"
