"Client Nickname 1","Cost Balance","Current Period w/Unapplied Payments","Fee Balance","Interest Balance","30 Days Total","60 Days Total","90 Days Total","120 Days Total","150 Days Total","180 Days Total","Previous Balance","Total Balance","Balance Due","Days Since Last Bill","Finance Charge","Finance Charge Description","Finance Charge Type","Finance Charge Value","Hold Type A/R Transactions","Hourly Rate","Hours Billed To Date","Percent Interest Annual Rate","Interest Charge At","Interest Grace Period","Interest Type","Invoice Number Format","Invoice Number Next","Invoice Number Type","Last Bill Date","Last Payment Amount","Last Payment Check","Last Payment Date","Last Payment ID","Last Payment Type","% Total Markup/Discount Value","Minimum Hours","New Charges Costs","New Charges Fees","New Charges Interest","New Charges Total","New Receivables","Overdue Balance","Payment Distrib: First Pay In Full","Payment Distrib: First Pay Invoice","Payment Distrib: Order of Charges","Payment Distrib: Require Manual","Payments Not Yet Applied Portion","Prorate Under Min Hours","Record Count",
"Abington","4358.28","(4.67)","2017.95","0.00","751.65","0.00","854.26","4770.32","0.00","0.00","6481.74","6371.56","7498.53","0","1.99","Finance charge for: Abington: Month: 9","Next Bill","1.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","101.09","","09/28/2013","4,653","Electronic Transfer","0.000000","0:00:00","1150.07","0.00","1.99","1152.06","(110.18)","6376.23","Invoice","Oldest","Interest, Costs, Fees","0","(4.67)","0","1"
"Acton","5865.06","1609.67","1849.88","0.00","882.08","0.00","967.80","4255.39","0.00","0.00","7826.12","7714.94","7714.94","0","2.99","Finance charge for: Acton: Month: 9","Next Bill","2.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","102.09","","09/28/2013","4,654","Electronic Transfer","0.000000","0:00:00","0.00","0.00","2.99","2.99","(111.18)","6105.27","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acushnet","4197.33","1834.31","948.27","0.00","948.27","0.00","0.00","2363.02","0.00","0.00","5257.78","5145.60","6738.99","0","3.99","Finance charge for: Acushnet: Month: 9","Next Bill","3.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","103.09","","09/28/2013","4,655","Electronic Transfer","0.000000","0:00:00","1614.49","0.00","3.99","1618.48","(112.18)","3311.29","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Adams","3222.76","2239.35","1247.19","0.00","152.49","152.99","1349.24","575.88","0.00","0.00","4583.13","4469.95","6470.78","0","4.99","Finance charge for: Adams: Month: 9","Next Bill","4.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","104.09","","09/28/2013","4,656","Electronic Transfer","0.000000","0:00:00","2020.93","0.00","4.99","2025.92","(113.18)","2230.60","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Agawam","2724.33","2307.40","1366.42","0.00","1138.41","0.00","101.75","543.19","0.00","0.00","4204.93","4090.75","6159.33","0","5.99","Finance charge for: Agawam: Month: 9","Next Bill","5.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","105.09","","09/28/2013","4,657","Electronic Transfer","0.000000","0:00:00","2087.68","0.00","5.99","2093.67","(114.18)","1783.35","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Alford","4863.63","2966.15","602.33","31.70","521.67","367.44","621.32","1021.08","0.00","0.00","5603.75","5497.66","8210.53","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","106.09","","09/28/2013","4,658","Electronic Transfer","0.000000","0:00:00","2712.87","0.00","0.00","2712.87","(106.09)","2531.51","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amesbury","11427.38","2309.16","3059.90","145.84","2292.74","2042.57","2348.34","5640.31","0.00","0.00","14633.12","14633.12","19212.06","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","107.08","","08/28/2013","4,079","Debit Card","0.000000","0:00:00","4279.53","299.41","0.00","4578.94","0.00","12323.96","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amherst","1603.40","839.69","4698.93","92.05","709.85","365.08","1038.86","3440.90","0.00","0.00","6394.38","6394.38","6988.14","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","108.07","","07/28/2013","3,499","Japan Credit Bureau (JCB)","0.000000","0:00:00","247.53","346.23","0.00","593.76","0.00","5554.69","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Andover","1614.49","1491.58","14695.70","246.88","2162.65","1483.62","1927.76","9491.46","0.00","0.00","16566.16","16557.07","18438.54","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","109.06","","06/28/2013","2,915","Discover","0.000000","0:00:00","469.87","1436.69","0.00","1906.56","(9.09)","15065.49","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Aquinnah","4363.87","916.51","1308.44","58.21","452.04","17.85","18.37","4325.75","0.00","0.00","5730.52","5730.52","5730.52","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","09/27/2013","25.08","","09/27/2013","4,591","Unknown","0.000000","0:00:00","0.00","0.00","0.00","0.00","0.00","4814.01","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
