"BA-Absolute-Both","0.00","0.00","0.00","0.00","571.03","571.03","0.00","0.00","0.00","0.00","0.00","2066.81","2066.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2637.84","2637.84","0.00","12/27/2013","",""
"BA-Absolute-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2192.57","2192.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2764.21","2764.21","0.00","12/27/2013","",""
"BA-Absolute-Time","0.00","0.00","0.00","0.00","1485.58","1485.58","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3556.80","3556.80","0.00","12/27/2013","",""
"BA-AdjExpense","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2301.51","2301.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2873.15","2873.15","0.00","12/27/2013","",""
"BA-AdjTask","0.00","0.00","0.00","0.00","603.15","603.15","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2674.37","2674.37","0.00","12/27/2013","",""
"BA-AdjTK-Both","0.00","0.00","0.00","0.00","603.15","603.15","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2674.37","2674.37","0.00","12/27/2013","",""
"BA-AdjTK-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2301.51","2301.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2873.15","2873.15","0.00","12/27/2013","",""
"BA-AdjTK-Time","0.00","0.00","0.00","0.00","603.15","603.15","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2674.37","2674.37","0.00","12/27/2013","",""
"BA-AdjTot-Both","0.00","0.00","0.00","0.00","603.15","603.15","0.00","0.00","0.00","0.00","0.00","2301.51","2301.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2904.66","2904.66","0.00","12/27/2013","",""
"BA-AdjTot-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2301.51","2301.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2873.15","2873.15","0.00","12/27/2013","",""
"BA-AdjTot-Time","0.00","0.00","0.00","0.00","603.15","603.15","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2674.37","2674.37","0.00","12/27/2013","",""
"BA-Cont-Both","0.00","0.00","0.00","0.00","953.88","953.88","0.00","0.00","0.00","0.00","0.00","2758.51","2758.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3712.39","3712.39","0.00","12/27/2013","",""
"BA-Cont-Exp","0.00","0.00","0.00","0.00","1143.28","1143.28","0.00","0.00","0.00","0.00","0.00","2821.39","2821.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3964.67","3964.67","0.00","12/27/2013","",""
"BA-Cont-Time","0.00","0.00","0.00","0.00","1931.16","1931.16","0.00","0.00","0.00","0.00","0.00","4142.44","4142.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","6073.60","6073.60","0.00","12/27/2013","",""
"BA-FFPlus-Both","0.00","0.00","0.00","0.00","634.36","634.36","0.00","0.00","0.00","0.00","0.00","2529.60","2529.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3163.96","3163.96","0.00","12/27/2013","",""
"BA-FFPlus-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2592.47","2592.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3164.11","3164.11","0.00","12/27/2013","",""
"BA-FFPlus-Time","0.00","0.00","0.00","0.00","1091.64","1091.64","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3162.86","3162.86","0.00","12/27/2013","",""
"BA-InterimAct","0.00","0.00","0.00","0.00","3208.74","3208.74","0.00","0.00","0.00","0.00","0.00","6213.66","6213.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9422.40","9422.40","0.00","12/27/2013","",""
"BA-InterimTot","0.00","0.00","0.00","0.00","3208.74","3208.74","0.00","0.00","0.00","0.00","0.00","6213.66","6213.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9422.40","9422.40","0.00","12/27/2013","",""
"BA-Maximum-Both","0.00","0.00","0.00","0.00","508.30","508.30","0.00","0.00","0.00","0.00","0.00","1608.44","1608.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2116.74","2116.74","0.00","12/27/2013","",""
"BA-Maximum-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","1671.32","1671.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2242.96","2242.96","0.00","12/27/2013","",""
"BA-Maximum-Time","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2642.86","2642.86","0.00","12/27/2013","",""
"BA-Minimum-Both","0.00","0.00","0.00","0.00","1072.85","1072.85","0.00","0.00","0.00","0.00","0.00","5733.78","5733.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","6806.63","6806.63","0.00","12/27/2013","",""
"BA-Minimum-Exp","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","6362.57","6362.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","6934.21","6934.21","0.00","12/27/2013","",""
"BA-Minimum-Time","0.00","0.00","0.00","0.00","5645.58","5645.58","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","7716.80","7716.80","0.00","12/27/2013","",""
"BA-MinimumHours","0.00","0.00","0.00","0.00","1589.58","1589.58","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","3660.80","3660.80","0.00","12/27/2013","",""
"BA-Percent","0.00","0.00","0.00","0.00","2376.74","2376.74","0.00","0.00","0.00","0.00","0.00","6213.66","6213.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","8590.40","8590.40","0.00","12/27/2013","",""
"BA-Precision","0.00","0.00","0.00","0.00","571.64","571.64","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2642.86","2642.86","0.00","12/27/2013","",""
"BA-ProgressAct","0.00","0.00","0.00","0.00","3208.74","3208.74","0.00","0.00","0.00","0.00","0.00","6213.66","6213.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9422.40","9422.40","0.00","12/27/2013","",""
"BA-ProgressTot","0.00","0.00","0.00","0.00","3208.74","3208.74","0.00","0.00","0.00","0.00","0.00","6213.66","6213.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9422.40","9422.40","0.00","12/27/2013","",""
"BA-ReplaceExpA","0.00","0.00","0.00","0.00","2864.22","2864.22","0.00","0.00","0.00","0.00","0.00","6265.23","6265.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9129.45","9129.45","0.00","12/27/2013","",""
"BA-ReplaceTimeA","0.00","0.00","0.00","0.00","2864.22","2864.22","0.00","0.00","0.00","0.00","0.00","6265.23","6265.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9129.45","9129.45","0.00","12/27/2013","",""
"BA-ReplaceTimeB","0.00","0.00","0.00","0.00","2864.22","2864.22","0.00","0.00","0.00","0.00","0.00","6265.23","6265.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9129.45","9129.45","0.00","12/27/2013","",""
"BA-ReplaceTimeC","0.00","0.00","0.00","0.00","2864.22","2864.22","0.00","0.00","0.00","0.00","0.00","6265.23","6265.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","9129.45","9129.45","0.00","12/27/2013","",""
"BA-RoundDol","0.00","0.00","0.00","0.00","577.20","577.20","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2648.42","2648.42","0.00","12/27/2013","",""
"BA-RoundMin","0.00","0.00","0.00","0.00","582.19","582.19","0.00","0.00","0.00","0.00","0.00","2071.22","2071.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","2653.41","2653.41","0.00","12/27/2013","",""
