"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","86776.53","0.034468","2991.01","89767.54"
"Cleanup Supplies","85641.30","0.077400","6628.60","92269.90"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","117884.55","-0.035382","(4170.98)","113713.57"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","170341.65","0.077399","13184.19","183525.84"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","170441.25","0.031665","5397.04","175838.29"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","112763.68","0.017095","1927.68","114691.36"
"Planting","148494.17","-0.031384","(4660.37)","143833.80"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","57948.75","0.017328","1004.14","58952.89"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","174247.42","0.033353","5811.74","180059.16"
"Wood","140787.10","0.077601","10925.18","151712.28"
