"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","84122.98","0.019394","1631.46","85754.44"
"Cleanup Supplies","82469.40","0.060671","5003.50","87472.90"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","114102.05","-0.019939","(2275.08)","111826.97"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","164032.70","0.060670","9951.84","173984.54"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","165653.10","0.017771","2943.84","168596.94"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","108556.08","0.037185","4036.68","112592.76"
"Planting","144267.87","-0.017620","(2542.02)","141725.85"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","55802.50","0.037273","2079.94","57882.44"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","169091.32","0.018748","3170.04","172261.36"
"Wood","135533.85","0.060750","8233.68","143767.53"
