"Abington","G:12345","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Abington","G:12555","02/27/2013","1018.43","0.00","0.00","0.00","0.00","1018.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1018.43","0.00","0.00","0.00","0.00","1018.43"
"Abington","G:12873","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","G:12346","01/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","G:12556","02/27/2013","35.28","0.00","0.00","0.00","0.00","35.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","35.28","0.00","0.00","0.00","0.00","35.28"
"Acton","G:12874","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acushnet","G:12347","01/27/2013","32.82","0.00","0.00","0.00","0.00","32.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","32.82","0.00","0.00","0.00","0.00","32.82"
"Acushnet","G:12557","02/27/2013","212.96","0.00","0.00","0.00","0.00","212.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","212.96","0.00","0.00","0.00","0.00","212.96"
"Acushnet","G:12875","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Adams","G:12348","01/27/2013","357.78","0.00","0.00","0.00","0.00","357.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","357.78","0.00","0.00","0.00","0.00","357.78"
"Adams","G:12558","02/27/2013","313.59","0.00","0.00","0.00","0.00","313.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","313.59","0.00","0.00","0.00","0.00","313.59"
"Adams","G:12876","03/27/2013","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Agawam","G:12349","01/27/2013","125.32","0.00","0.00","0.00","0.00","125.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125.32","0.00","0.00","0.00","0.00","125.32"
