"BA-Absolute-Both","12/27/2013","11","INV","12355","AR-Fees","AR-Fees","571.03","0.00","AR-Costs","AR-Costs","2066.81","0.00","Charges-Fees","Charges-Fees","0.00","549.07","Charges-Costs","Charges-Costs","0.00","1982.55","TaxRec-Fees","TaxRec-Fees","0.00","21.96","TaxRec-Costs","TaxRec-Costs","0.00","84.26"
"BA-Absolute-Exp","12/27/2013","10","INV","12354","AR-Fees","AR-Fees","571.64","0.00","AR-Costs","AR-Costs","2192.57","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","2103.18","TaxRec-Fees","TaxRec-Fees","0.00","21.99","TaxRec-Costs","TaxRec-Costs","0.00","89.39"
"BA-Absolute-NoSlips","12/27/2013","12","INV","12356","AR-Fees","AR-Fees","1040.00","0.00","TaxRec-Fees","TaxRec-Fees","0.00","40.00","Charges-Fees","Charges-Fees","0.00","1000.00"
"BA-Absolute-NoSlips","12/27/2013","13","INV","12357","AR-Fees","AR-Fees","1040.00","0.00","TaxRec-Fees","TaxRec-Fees","0.00","40.00","Charges-Fees","Charges-Fees","0.00","1000.00"
"BA-Absolute-NoSlips","12/27/2013","14","INV","12358","AR-Fees","AR-Fees","1040.00","0.00","TaxRec-Fees","TaxRec-Fees","0.00","40.00","Charges-Fees","Charges-Fees","0.00","1000.00"
"BA-Absolute-Time","12/27/2013","9","INV","12353","AR-Fees","AR-Fees","1485.58","0.00","AR-Costs","AR-Costs","2071.22","0.00","Charges-Fees","Charges-Fees","0.00","1428.44","Charges-Costs","Charges-Costs","0.00","1986.78","TaxRec-Fees","TaxRec-Fees","0.00","57.14","TaxRec-Costs","TaxRec-Costs","0.00","84.44"
"BA-AdjExpense","12/27/2013","8","INV","12352","AR-Fees","AR-Fees","571.64","0.00","AR-Costs","AR-Costs","2301.51","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Costs","WU-Costs","0.00","220.90","TaxRec-Fees","TaxRec-Fees","0.00","21.99","TaxRec-Costs","TaxRec-Costs","0.00","93.83"
"BA-AdjTask","12/27/2013","7","INV","12351","AR-Fees","AR-Fees","603.15","0.00","AR-Costs","AR-Costs","2071.22","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Fees","WU-Fees","0.00","30.30","TaxRec-Fees","TaxRec-Fees","0.00","23.20","TaxRec-Costs","TaxRec-Costs","0.00","84.44"
"BA-AdjTK-Both","12/27/2013","6","INV","12350","AR-Fees","AR-Fees","603.15","0.00","AR-Costs","AR-Costs","2071.22","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Fees","WU-Fees","0.00","30.30","TaxRec-Fees","TaxRec-Fees","0.00","23.20","TaxRec-Costs","TaxRec-Costs","0.00","84.44"
"BA-AdjTK-Exp","12/27/2013","5","INV","12349","AR-Fees","AR-Fees","571.64","0.00","AR-Costs","AR-Costs","2301.51","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Costs","WU-Costs","0.00","220.90","TaxRec-Fees","TaxRec-Fees","0.00","21.99","TaxRec-Costs","TaxRec-Costs","0.00","93.83"
"BA-AdjTK-Time","12/27/2013","4","INV","12348","AR-Fees","AR-Fees","603.15","0.00","AR-Costs","AR-Costs","2071.22","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Fees","WU-Fees","0.00","30.30","TaxRec-Fees","TaxRec-Fees","0.00","23.20","TaxRec-Costs","TaxRec-Costs","0.00","84.44"
"BA-AdjTot-Both","12/27/2013","3","INV","12347","AR-Fees","AR-Fees","603.15","0.00","AR-Costs","AR-Costs","2301.51","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Fees","WU-Fees","0.00","30.30","WU-Costs","WU-Costs","0.00","220.90","TaxRec-Fees","TaxRec-Fees","0.00","23.20","TaxRec-Costs","TaxRec-Costs","0.00","93.83"
"BA-AdjTot-Exp","12/27/2013","2","INV","12346","AR-Fees","AR-Fees","571.64","0.00","AR-Costs","AR-Costs","2301.51","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Costs","WU-Costs","0.00","220.90","TaxRec-Fees","TaxRec-Fees","0.00","21.99","TaxRec-Costs","TaxRec-Costs","0.00","93.83"
"BA-AdjTot-Time","12/27/2013","1","INV","12345","AR-Fees","AR-Fees","603.15","0.00","AR-Costs","AR-Costs","2071.22","0.00","Charges-Fees","Charges-Fees","0.00","549.65","Charges-Costs","Charges-Costs","0.00","1986.78","WU-Fees","WU-Fees","0.00","30.30","TaxRec-Fees","TaxRec-Fees","0.00","23.20","TaxRec-Costs","TaxRec-Costs","0.00","84.44"
"BA-Cont-Both","12/27/2013","28","INV","12372","AR-Fees","AR-Fees","445.58","0.00","AR-Costs","AR-Costs","1150.07","0.00","Charges-Fees","Charges-Fees","0.00","428.44","Charges-Costs","Charges-Costs","0.00","1103.18","TaxRec-Fees","TaxRec-Fees","0.00","17.14","TaxRec-Costs","TaxRec-Costs","0.00","46.89"
