"Client Nickname 1","Cost Balance","Current Period w/Unapplied Payments","Fee Balance","Interest Balance","30 Days Total","60 Days Total","90 Days Total","120 Days Total","150 Days Total","180 Days Total","Previous Balance","Total Balance","Balance Due","Days Since Last Bill","Finance Charge","Finance Charge Description","Finance Charge Type","Finance Charge Value","Hold Type A/R Transactions","Hourly Rate","Hours Billed To Date","Percent Interest Annual Rate","Interest Charge At","Interest Grace Period","Interest Type","Invoice Number Format","Invoice Number Next","Invoice Number Type","Last Bill Date","Last Payment Amount","Last Payment Check","Last Payment Date","Last Payment ID","Last Payment Type","% Total Markup/Discount Value","Minimum Hours","New Charges Costs","New Charges Fees","New Charges Interest","New Charges Total","New Receivables","Overdue Balance","Payment Distrib: First Pay In Full","Payment Distrib: First Pay Invoice","Payment Distrib: Order of Charges","Payment Distrib: Require Manual","Payments Not Yet Applied Portion","Prorate Under Min Hours","Record Count",
"Abington","0.00","1018.43","1018.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1122.49","1018.43","8162.92","0","1.99","Finance charge for: Abington: Month: 3","Next Bill","1.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","101.03","","03/28/2013","1,156","American Express","0.000000","0:00:00","5565.30","1625.26","1.99","7192.55","(104.06)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acton","0.00","35.28","35.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","140.34","35.28","8374.76","0","2.99","Finance charge for: Acton: Month: 3","Next Bill","2.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","102.03","","03/28/2013","1,157","American Express","0.000000","0:00:00","6511.68","1871.73","2.99","8386.40","(105.06)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acushnet","0.00","212.96","245.78","0.00","32.82","0.00","0.00","0.00","0.00","0.00","351.84","245.78","7471.68","0","3.99","Finance charge for: Acushnet: Month: 3","Next Bill","3.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","103.03","","03/28/2013","1,158","American Express","0.000000","0:00:00","6281.65","985.80","3.99","7271.44","(106.06)","32.82","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Adams","0.00","313.59","671.37","0.00","357.78","0.00","0.00","0.00","0.00","0.00","778.43","671.37","6189.42","0","4.99","Finance charge for: Adams: Month: 3","Next Bill","4.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","104.03","","03/28/2013","1,159","American Express","0.000000","0:00:00","4356.14","1200.21","4.99","5561.34","(107.06)","357.78","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Agawam","0.00","635.37","760.69","0.00","125.32","0.00","0.00","0.00","0.00","0.00","868.75","760.69","6915.48","0","5.99","Finance charge for: Agawam: Month: 3","Next Bill","5.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","105.03","","03/28/2013","1,160","American Express","0.000000","0:00:00","4885.10","1306.88","5.99","6197.97","(108.06)","125.32","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Alford","0.00","455.87","455.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","458.90","455.87","6096.96","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","0.00","","","0","","0.000000","0:00:00","5282.50","358.59","0.00","5641.09","(3.03)","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amesbury","0.00","599.22","790.45","1.15","192.38","0.00","0.00","0.00","0.00","0.00","898.63","791.60","7119.30","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","107.03","","03/28/2013","1,161","American Express","0.000000","0:00:00","5448.21","879.49","0.00","6327.70","(107.03)","192.38","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amherst","0.00","1474.19","1709.01","2.38","237.20","0.00","0.00","0.00","0.00","0.00","1711.39","1711.39","4945.69","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","108.02","","02/28/2013","669","Cash","0.000000","0:00:00","1867.46","1366.84","0.00","3234.30","0.00","237.20","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Andover","0.00","3746.20","5063.15","10.73","1327.68","0.00","0.00","0.00","0.00","0.00","5073.88","5073.88","9691.36","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","109.01","9","01/28/2013","182","Check","0.000000","0:00:00","2084.35","2558.16","0.00","4642.51","0.00","1327.68","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Aquinnah","0.00","976.89","976.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","976.89","976.89","5779.10","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","03/27/2013","0.00","","","0","","0.000000","0:00:00","4385.63","441.60","0.00","4827.23","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
