"Client Nickname 1","% Billable Costs","% Billable Fees","% Billable Fees & Costs","% Billable Hours","% Profit. Fees & Costs","% Profitability Costs","% Profitability Fees","% Profitability Full Bill","Actual Costs","Actual Fees","Actual Fees & Costs","Adjustment Profit. Bill","Adjustment Profit. Costs","Adjustment Profit. Fees","Adjustment Profit. Total","","Billable Costs","Billable Fees","Billable Fees & Costs","Billable Hours","Credits","","Expense Slip Value","Finance Charge","Flat Arrg Costs","Flat Arrg Costs G/L","Flat Arrg Fees","Flat Arrg Fees G/L","Interest","Invoice Charges","Markdown Billable Costs","Markdown Billable Fees","Markup Billable Costs","Markup Billable Fees","Payments","Profit. Fees & Costs","Profitability Costs","Profitability Fees","Profitability Full Bill","Refunds","Slip Time Spent","Time Slip Value","Total A/R","Total Finance & Interest","Total Hours","Total Markup+Down Costs","Total Markup+Down Fees","Total Slip Costs","Total Slip Fees","Total Slip Fees & Costs","Total Tax","Total Tax Costs","Total Tax Fees","Total Write Downs","Total Write Ups","Unbillable Costs","Unbillable Fees","Unbillable Fees & Costs","Unbillable Hours","Write Down Bill","Write Down Costs","Write Down Fees","Write Offs","Write Up Bill","Write Up Costs","Write Up Fees",
"Abington","80.12","100.00","86.09","100.00","(13.91)","(19.88)","0.00","0.00","5338.42","2861.27","8199.69","0.00","0.00","0.00","0.00","102.92","5338.42","2861.27","8199.69","27:48:00","66.66","102.92","6346.00","21.89","0.00","0.00","0.00","0.00","202.76","8765.68","0.00","0.00","254.21","0.00","1387.32","(1324.88)","(1324.88)","0.00","0.00","0.00","27:48:00","2861.27","7311.70","224.65","27:48:00","254.21","0.00","6663.30","2861.27","9524.57","341.34","226.89","114.45","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","82.50","100.00","86.38","100.00","(13.62)","(17.50)","0.00","0.00","6246.22","2154.40","8400.62","0.00","0.00","0.00","0.00","103.58","6246.22","2154.40","8400.62","20:48:00","66.66","103.58","7210.56","32.89","0.00","0.00","0.00","0.00","197.93","8983.08","0.00","0.00","297.45","0.00","1398.32","(1324.88)","(1324.88)","0.00","0.00","0.00","20:48:00","2154.40","7518.10","230.82","20:48:00","297.45","0.00","7571.10","2154.40","9725.50","351.64","265.47","86.17","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acushnet","100.00","58.44","87.55","58.87","(12.45)","0.00","(41.56)","0.00","6025.56","1506.45","7532.01","0.00","0.00","0.00","0.00","103.18","6025.56","1506.45","7532.01","14:36:00","66.66","60.74","5738.62","43.89","0.00","0.00","0.00","0.00","122.48","8014.73","0.00","0.00","286.94","0.00","1409.32","(1071.31)","0.00","(1071.31)","0.00","0.00","24:48:00","2577.76","6538.75","166.37","24:48:00","286.94","0.00","6025.56","2577.76","8603.32","316.35","256.09","60.26","0.00","0.00","0.00","1071.31","1071.31","10:12:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Adams","100.00","66.67","88.37","66.88","(16.57)","(7.59)","(33.33)","0.00","5490.31","2122.43","7612.74","0.00","(451.08)","0.00","(451.08)","103.03","5941.39","2122.43","8063.82","20:36:00","66.66","68.91","7686.66","54.89","0.00","0.00","0.00","0.00","108.13","8094.00","1936.44","0.00","191.17","0.00","1420.32","(1512.29)","(451.08)","(1061.21)","0.00","0.00","30:48:00","3183.64","6607.02","163.02","30:48:00","(1745.27)","0.00","5941.39","3183.64","9125.03","318.24","233.35","84.89","451.08","0.00","0.00","1061.21","1061.21","10:12:00","0.00","451.08","0.00","0.00","0.00","0.00","0.00"
"Agawam","35.18","100.00","44.77","100.00","(55.23)","(64.82)","0.00","0.00","4685.95","2313.74","6999.69","0.00","0.00","0.00","0.00","101.48","4685.95","2313.74","6999.69","22:48:00","66.66","101.48","10172.23","65.89","0.00","0.00","0.00","0.00","88.48","7445.77","0.00","0.00","223.14","0.00","1431.32","(8634.60)","(8634.60)","0.00","0.00","0.00","22:48:00","2313.74","5947.79","154.37","22:48:00","223.14","0.00","13320.55","2313.74","15634.29","291.71","199.16","92.55","0.00","0.00","8634.60","0.00","8634.60","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Alford","92.71","7.55","47.35","10.86","(54.96)","(12.22)","(92.45)","0.00","8023.95","786.05","8810.00","0.00","(451.08)","0.00","(451.08)","103.43","8475.03","786.05","9261.08","7:36:00","3.03","11.23","12681.91","0.00","0.00","0.00","0.00","0.00","122.08","9304.56","3796.20","0.00","223.70","0.00","237.19","(10748.62)","(1117.18)","(9631.44)","0.00","0.00","70:00:00","7154.57","9064.34","122.08","70:00:00","(3572.50)","0.00","9141.13","10417.49","19558.62","372.48","341.04","31.44","451.08","0.00","666.10","9631.44","10297.54","62:24:00","0.00","451.08","0.00","0.00","0.00","0.00","0.00"
"Amesbury","100.00","82.08","95.71","85.36","(4.88)","2.58","(28.62)","0.00","18347.54","4012.45","22359.99","0.00","461.07","(1073.16)","(612.09)","55.72","17886.47","4614.01","22500.48","82:48:00","13.13","41.37","12871.00","0.00","0.00","0.00","0.00","0.00","390.29","23690.61","0.00","4550.16","5015.47","0.00","264.27","(1148.05)","461.07","(1609.12)","0.00","0.00","97:00:00","10171.73","23413.21","390.29","97:00:00","5015.47","(4550.16)","17886.47","5621.57","23508.04","940.33","779.79","160.54","1073.16","461.07","0.00","1007.56","1007.56","14:12:00","0.00","0.00","1073.16","0.00","0.00","461.07","0.00"
"Amherst","9.45","93.19","31.52","92.17","(70.81)","(90.55)","(15.67)","0.00","1791.33","5725.66","7516.99","0.00","0.00","(1064.16)","(1064.16)","59.69","1791.33","6327.10","8118.43","106:00:00","11.11","49.79","13062.14","0.00","0.00","0.00","0.00","0.00","185.74","8007.93","0.00","5084.04","85.30","0.00","266.23","(18238.50)","(17174.34)","(1064.16)","0.00","0.00","115:00:00","11873.86","7730.59","185.74","115:00:00","85.30","(5084.04)","18965.67","6789.82","25755.49","305.20","76.14","229.06","1064.16","0.00","17174.34","462.72","17637.06","9:00:00","0.00","0.00","1064.16","0.00","0.00","0.00","0.00"
"Andover","50.11","92.65","85.36","93.02","(12.00)","(49.89)","(4.16)","0.00","1999.38","18484.44","20483.82","0.00","0.00","(802.08)","(802.08)","148.91","1999.38","17869.68","19869.06","120:00:00","9.09","143.29","3800.34","0.00","0.00","0.00","0.00","0.00","507.46","21815.66","0.00","0.00","95.21","5887.68","377.30","(2793.06)","(1990.98)","(802.08)","0.00","0.00","129:00:00","13398.84","21429.27","507.46","129:00:00","95.21","5887.68","3990.36","19286.52","23276.88","824.38","84.98","739.40","802.08","0.00","1990.98","1416.84","3407.82","9:00:00","0.00","0.00","802.08","0.00","0.00","0.00","0.00"
"Aquinnah","86.33","6.61","21.85","9.50","(78.15)","(13.67)","(93.39)","0.00","4206.84","1363.94","5570.78","0.00","0.00","0.00","0.00","101.79","4206.84","1363.94","5570.78","13:24:00","8.08","9.67","4640.89","0.00","0.00","0.00","0.00","0.00","165.44","5969.56","0.00","0.00","200.33","0.00","270.25","(19922.14)","(666.10)","(19256.04)","0.00","0.00","141:00:00","14279.90","5691.23","165.44","141:00:00","200.33","0.00","4872.94","20619.98","25492.92","233.34","178.79","54.55","0.00","0.00","666.10","19256.04","19922.14","127:36:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Arlington","100.00","53.86","82.65","54.44","(17.35)","0.00","(46.14)","0.00","5763.92","1871.62","7635.54","0.00","0.00","0.00","0.00","101.72","5763.92","1871.62","7635.54","18:24:00","7.07","55.37","5489.45","0.00","0.00","0.00","0.00","0.00","212.00","8167.38","0.00","0.00","274.47","0.00","272.21","(1603.09)","0.00","(1603.09)","0.00","0.00","33:48:00","3474.71","7888.10","212.00","33:48:00","274.47","0.00","5763.92","3474.71","9238.63","319.84","244.97","74.87","0.00","0.00","0.00","1603.09","1603.09","15:24:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashburnham","80.12","100.00","86.11","100.00","(13.89)","(19.88)","0.00","0.00","5338.42","2875.32","8213.74","0.00","0.00","0.00","0.00","103.43","5338.42","2875.32","8213.74","27:48:00","6.06","103.43","6346.00","0.00","0.00","0.00","0.00","0.00","231.00","8786.65","0.00","0.00","254.21","0.00","249.17","(1324.88)","(1324.88)","0.00","0.00","0.00","27:48:00","2875.32","8531.42","231.00","27:48:00","254.21","0.00","6663.30","2875.32","9538.62","341.91","226.89","115.02","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashby","82.50","100.00","86.39","100.00","(13.61)","(17.50)","0.00","0.00","6246.22","2164.72","8410.94","0.00","0.00","0.00","0.00","104.07","6246.22","2164.72","8410.94","20:48:00","5.05","104.07","7210.56","0.00","0.00","0.00","0.00","0.00","225.29","8988.30","0.00","0.00","297.45","0.00","276.25","(1324.88)","(1324.88)","0.00","0.00","0.00","20:48:00","2164.72","8707.00","225.29","20:48:00","297.45","0.00","7571.10","2164.72","9735.82","352.07","265.47","86.60","0.00","0.00","1324.88","0.00","1324.88","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashfield","100.00","59.00","87.75","58.87","(12.25)","0.00","(41.00)","0.00","6025.56","1513.85","7539.41","0.00","0.00","0.00","0.00","103.69","6025.56","1513.85","7539.41","14:36:00","4.04","61.04","5738.62","0.00","0.00","0.00","0.00","0.00","147.52","8003.57","0.00","0.00","286.94","0.00","392.32","(1052.03)","0.00","(1052.03)","0.00","0.00","24:48:00","2565.88","7607.21","147.52","24:48:00","286.94","0.00","6025.56","2565.88","8591.44","316.64","256.09","60.55","0.00","0.00","0.00","1052.03","1052.03","10:12:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ashland","100.00","67.27","86.46","66.88","(13.54)","0.00","(32.73)","0.00","4465.29","2120.49","6585.78","0.00","0.00","0.00","0.00","102.94","4465.29","2120.49","6585.78","20:36:00","3.03","68.85","4252.66","0.00","0.00","0.00","0.00","0.00","127.05","6987.44","0.00","0.00","212.63","0.00","280.27","(1031.73)","0.00","(1031.73)","0.00","0.00","30:48:00","3152.22","6704.14","127.05","30:48:00","212.63","0.00","4465.29","3152.22","7617.51","274.61","189.78","84.83","0.00","0.00","0.00","1031.73","1031.73","10:12:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Athol","87.55","100.00","91.35","100.00","(8.65)","(12.45)","0.00","0.00","4685.95","2346.64","7032.59","0.00","0.00","0.00","0.00","102.92","4685.95","2346.64","7032.59","22:48:00","13.13","102.92","5097.19","0.00","0.00","0.00","0.00","0.00","117.76","7443.38","0.00","0.00","223.14","0.00","282.23","(666.10)","(666.10)","0.00","0.00","0.00","22:48:00","2346.64","7148.02","117.76","22:48:00","223.14","0.00","5352.05","2346.64","7698.69","293.03","199.16","93.87","0.00","0.00","666.10","0.00","666.10","0:00:00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
