"Default","BA-Absolute-Both","Default","0.00"
"Default","BA-Absolute-Exp","Default","0.00"
"Default","BA-Absolute-Time","Default","0.00"
"Default","BA-AdjExpense","Default","0.00"
"Default","BA-AdjTask","Default","0.00"
"Default","BA-AdjTK-Both","Default","0.00"
"Default","BA-AdjTK-Exp","Default","0.00"
"Default","BA-AdjTK-Time","Default","0.00"
"Default","BA-AdjTot-Both","Default","0.00"
"Default","BA-AdjTot-Exp","Default","0.00"
"Default","BA-AdjTot-Time","Default","0.00"
"Default","BA-Cont-Both","Default","0.00"
"Default","BA-Cont-Exp","Default","0.00"
"Default","BA-Cont-Time","Default","0.00"
"Default","BA-FFPlus-Both","Default","0.00"
"Default","BA-FFPlus-Exp","Default","0.00"
"Default","BA-FFPlus-Time","Default","0.00"
"Default","BA-InterimAct","Default","0.00"
"Default","BA-InterimTot","Default","0.00"
"Default","BA-Maximum-Both","Default","0.00"
"Default","BA-Maximum-Exp","Default","0.00"
"Default","BA-Maximum-Time","Default","0.00"
"Default","BA-Minimum-Both","Default","0.00"
"Default","BA-Minimum-Exp","Default","0.00"
"Default","BA-Minimum-Time","Default","0.00"
"Default","BA-MinimumHours","Default","0.00"
"Default","BA-Percent","Default","0.00"
"Default","BA-Precision","Default","0.00"
"Default","BA-ProgressAct","Default","0.00"
"Default","BA-ProgressTot","Default","0.00"
"Default","BA-ReplaceExpA","Default","0.00"
"Default","BA-ReplaceTimeA","Default","0.00"
"Default","BA-ReplaceTimeB","Default","0.00"
"Default","BA-ReplaceTimeC","Default","0.00"
"Default","BA-RoundDol","Default","0.00"
"Default","BA-RoundMin","Default","0.00"
