"1","DEP","B","Hadley","10.01","01/27/2013","","P","Hadley-1","","bal - new bank"
"2","DEP","B","Halifax","20.02","01/27/2013","","P","Halifax-2","","bal - new bank"
"3","PAYT","","East.Brookfield","185.01","01/28/2013","","","Default","","Transferred payment"
"4","PAYT","","North.Andover","61.53","01/28/2013","","","Default","","Transferred payment"
"5","PAYT","","West.Bridgewater","422.01","01/28/2013","","","Default","","Transferred payment"
"6","PAYT","","Abington","25.01","01/28/2013","","","Default","","Abington - 1 - 1/28/2013"
"7","PAYT","","Acton","25.01","01/28/2013","","","Default","","Acton - 2 - 1/28/2013"
"8","PAYT","","Acushnet","25.01","01/28/2013","","","Default","","Acushnet - 3 - 1/28/2013"
"9","PAYT","","Adams","25.01","01/28/2013","","","Default","","Adams - 4 - 1/28/2013"
"10","PAYT","","Agawam","25.01","01/28/2013","","","Default","","Agawam - 5 - 1/28/2013"
"11","PAYT","","Arlington","25.01","01/28/2013","","","Default","","Arlington - 11 - 1/28/2013"
"12","PAYT","","Attleboro","25.01","01/28/2013","","","Default","","Attleboro - 17 - 1/28/2013"
"13","PAYT","","Becket","25.01","01/28/2013","","","Default","","Becket - 23 - 1/28/2013"
"14","PAYT","","Berlin","25.01","01/28/2013","","","Default","","Berlin - 29 - 1/28/2013"
"15","PAYT","","Bolton","25.01","01/28/2013","","","Default","","Bolton - 35 - 1/28/2013"
"16","PAYT","","Braintree","25.01","01/28/2013","","","Default","","Braintree - 41 - 1/28/2013"
"17","PAYT","","Brookline","25.01","01/28/2013","","","Default","","Brookline - 47 - 1/28/2013"
"18","PAYT","","Carver","25.01","01/28/2013","","","Default","","Carver - 53 - 1/28/2013"
"19","PAYT","","Cheshire","25.01","01/28/2013","","","Default","","Cheshire - 59 - 1/28/2013"
"20","PAYT","","Clinton","25.01","01/28/2013","","","Default","","Clinton - 65 - 1/28/2013"
"21","PAYT","","Dalton","25.01","01/28/2013","","","Default","","Dalton - 71 - 1/28/2013"
"22","PAYT","","Dighton","25.01","01/28/2013","","","Default","","Dighton - 77 - 1/28/2013"
"23","PAYT","","Duxbury","25.01","01/28/2013","","","Default","","Duxbury - 83 - 1/28/2013"
"24","PAYT","","Easton","25.01","01/28/2013","","","Default","","Easton - 89 - 1/28/2013"
"25","PAYT","","Fairhaven","25.01","01/28/2013","","","Default","","Fairhaven - 95 - 1/28/2013"
"26","PAYT","","Framingham","25.01","01/28/2013","","","Default","","Framingham - 101 - 1/28/2013"
"27","PAYT","","Gloucester","25.01","01/28/2013","","","Default","","Gloucester - 107 - 1/28/2013"
