"Abington","Invoice Charges","127.31","1225.25","1352.56","Payments","101.01","25.01","126.02","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Acton","Invoice Charges","240.28","132.13","372.41","Payments","102.01","25.01","127.02","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Acushnet","Invoice Charges","342.89","243.02","585.91","Payments","103.01","25.01","128.02","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Adams","Invoice Charges","670.85","343.65","1014.50","Payments","104.01","25.01","129.02","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Agawam","Invoice Charges","441.39","665.43","1106.82","Payments","105.01","25.01","130.02","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Alford","Invoice Charges","0.00","458.90","458.90","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Amesbury","Invoice Charges","299.41","300.68","600.09","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Amherst","Invoice Charges","346.23","1127.05","1473.28","Payments","0.00","0.00","0.00","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Andover","Invoice Charges","1436.69","2304.42","3741.11","Payments","109.01","0.00","109.01","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Aquinnah","Invoice Charges","0.00","976.89","976.89","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Arlington","Invoice Charges","1189.38","5.05","1194.43","Payments","0.00","5.05","5.05","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Ashburnham","Invoice Charges","131.19","1201.70","1332.89","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Ashby","Invoice Charges","235.97","130.96","366.93","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Ashfield","Invoice Charges","346.58","232.40","578.98","Payments","114.01","0.00","114.01","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Ashland","Invoice Charges","652.22","342.73","994.95","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Athol","Invoice Charges","446.23","679.96","1126.19","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Attleboro","Invoice Charges","0.00","450.64","450.64","Payments","0.00","25.01","25.01","Credits","1.01","0.00","1.01","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Auburn","Invoice Charges","772.62","3.28","775.90","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Avon","Invoice Charges","888.53","760.98","1649.51","Payments","119.01","0.00","119.01","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Ayer","Invoice Charges","968.28","875.67","1843.95","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Barnstable","Invoice Charges","0.00","3033.15","3033.15","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Barre","Invoice Charges","46.82","0.20","47.02","Payments","0.00","0.00","0.00","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Becket","Invoice Charges","62.44","583.02","645.46","Payments","0.00","25.01","25.01","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
"Bedford","Invoice Charges","384.48","1.11","385.59","Payments","124.01","0.00","124.01","Credits","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","Transfers","0.00","0.00","0.00"
