"Client Nickname 1","Cost Balance","Current Period w/Unapplied Payments","Fee Balance","Interest Balance","30 Days Total","60 Days Total","90 Days Total","120 Days Total","150 Days Total","180 Days Total","Previous Balance","Total Balance","Balance Due","Days Since Last Bill","Finance Charge","Finance Charge Description","Finance Charge Type","Finance Charge Value","Hold Type A/R Transactions","Hourly Rate","Hours Billed To Date","Percent Interest Annual Rate","Interest Charge At","Interest Grace Period","Interest Type","Invoice Number Format","Invoice Number Next","Invoice Number Type","Last Bill Date","Last Payment Amount","Last Payment Check","Last Payment Date","Last Payment ID","Last Payment Type","% Total Markup/Discount Value","Minimum Hours","New Charges Costs","New Charges Fees","New Charges Interest","New Charges Total","New Receivables","Overdue Balance","Payment Distrib: First Pay In Full","Payment Distrib: First Pay Invoice","Payment Distrib: Order of Charges","Payment Distrib: Require Manual","Payments Not Yet Applied Portion","Prorate Under Min Hours","Record Count",
"Abington","0.00","1200.24","1225.53","0.00","25.29","0.00","0.00","0.00","0.00","0.00","1225.53","1225.53","8416.09","0","0.00","Finance charge for: Abington: Month: 1","None","1.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","25.01","","02/27/2013","591","Unknown","0.000000","0:00:00","5565.30","1625.26","0.00","7190.56","0.00","25.29","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acton","0.00","107.12","244.38","0.00","137.26","0.00","0.00","0.00","0.00","0.00","244.38","244.38","8627.79","0","0.00","Finance charge for: Acton: Month: 1","None","2.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","25.01","","02/27/2013","483","Unknown","0.000000","0:00:00","6511.68","1871.73","0.00","8383.41","0.00","137.26","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Acushnet","0.00","218.01","456.88","0.00","238.87","0.00","0.00","0.00","0.00","0.00","456.88","456.88","7724.33","0","0.00","Finance charge for: Acushnet: Month: 1","None","3.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","25.01","","02/27/2013","648","Unknown","0.000000","0:00:00","6281.65","985.80","0.00","7267.45","0.00","238.87","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Adams","0.00","318.64","884.47","0.00","565.83","0.00","0.00","0.00","0.00","0.00","884.47","884.47","6440.82","0","0.00","Finance charge for: Adams: Month: 1","None","4.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","25.01","","02/27/2013","368","Unknown","0.000000","0:00:00","4356.14","1200.21","0.00","5556.35","0.00","565.83","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Agawam","0.00","640.42","975.79","0.00","335.37","0.00","0.00","0.00","0.00","0.00","975.79","975.79","7167.77","0","0.00","Finance charge for: Agawam: Month: 1","None","5.99","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","25.01","","02/27/2013","312","Unknown","0.000000","0:00:00","4885.10","1306.88","0.00","6191.98","0.00","335.37","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Alford","0.00","458.90","458.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","458.90","458.90","6099.99","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","0.00","","","0","","0.000000","0:00:00","5282.50","358.59","0.00","5641.09","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amesbury","0.00","300.68","598.82","1.27","299.41","0.00","0.00","0.00","0.00","0.00","600.09","600.09","6927.79","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","0.00","","","0","","0.000000","0:00:00","5448.21","879.49","0.00","6327.70","0.00","299.41","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Amherst","0.00","1127.05","1470.80","1.47","345.22","0.00","0.00","0.00","0.00","0.00","1472.27","1472.27","4706.57","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","0.00","","","0","","0.000000","0:00:00","1867.46","1366.84","0.00","3234.30","0.00","345.22","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Andover","0.00","2304.42","3626.46","5.64","1327.68","0.00","0.00","0.00","0.00","0.00","3632.10","3632.10","8274.61","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","109.01","9","01/28/2013","182","Check","0.000000","0:00:00","2084.35","2558.16","0.00","4642.51","0.00","1327.68","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
"Aquinnah","0.00","976.89","976.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","976.89","976.89","5804.12","0","0.00","","None","0.00","Off","0.00","0:00:00","0.050000","Period 1","0","Compound","","1","Global Invoice Number","02/27/2013","0.00","","","0","","0.000000","0:00:00","4385.63","441.60","0.00","4827.23","0.00","0.00","Invoice","Oldest","Interest, Costs, Fees","0","0.00","0","1"
