"Abington","Invoice Charges","127.31","1225.25","1.99","2337.64","3692.19","Payments","101.01","126.03","103.02","48.06","378.12","Credits","1.01","2.02","3.03","0.00","6.06","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Acton","Invoice Charges","240.28","132.13","3.13","2572.91","2948.45","Payments","102.01","127.03","105.16","46.92","381.12","Credits","1.01","2.02","3.03","0.00","6.06","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Acushnet","Invoice Charges","342.89","243.02","4.51","253.38","843.80","Payments","103.01","128.03","107.54","45.54","384.12","Credits","1.01","2.02","3.03","0.00","6.06","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Adams","Invoice Charges","670.85","343.65","6.76","179.98","1201.24","Payments","104.01","129.03","110.79","43.29","387.12","Credits","1.01","2.02","3.03","0.00","6.06","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Agawam","Invoice Charges","441.39","665.43","6.87","11.66","1125.35","Payments","105.01","130.03","111.90","11.66","358.60","Credits","1.01","2.02","3.03","0.00","6.06","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Alford","Invoice Charges","0.00","458.90","0.00","388.99","847.89","Payments","0.00","0.00","0.00","0.00","0.00","Credits","0.00","0.00","3.03","0.00","3.03","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Amesbury","Invoice Charges","299.41","300.68","300.56","2013.81","2914.46","Payments","0.00","0.00","107.03","0.00","107.03","Credits","0.00","2.02","0.00","0.00","2.02","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Amherst","Invoice Charges","346.23","1127.05","347.14","357.82","2178.24","Payments","0.00","108.02","0.00","0.00","108.02","Credits","1.01","0.00","0.00","0.00","1.01","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Andover","Invoice Charges","1436.69","2304.42","1441.78","3081.57","8264.46","Payments","109.01","0.00","0.00","25.03","134.04","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Aquinnah","Invoice Charges","0.00","976.89","0.00","1857.89","2834.78","Payments","0.00","0.00","0.00","25.02","25.02","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Arlington","Invoice Charges","1189.38","5.05","4.56","2092.73","3291.72","Payments","0.00","5.05","4.56","15.40","25.01","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Ashburnham","Invoice Charges","131.19","1201.70","0.50","2337.36","3670.75","Payments","0.00","0.00","112.03","0.00","112.03","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Ashby","Invoice Charges","235.97","130.96","0.47","2571.22","2938.62","Payments","0.00","113.02","0.00","0.00","113.02","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Ashfield","Invoice Charges","346.58","232.40","0.89","250.40","830.27","Payments","114.01","0.00","0.00","0.00","114.01","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Ashland","Invoice Charges","652.22","342.73","2.50","475.41","1472.86","Payments","0.00","0.00","0.00","25.03","25.03","Credits","0.00","0.00","3.03","0.00","3.03","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Athol","Invoice Charges","446.23","679.96","1.71","7.37","1135.27","Payments","0.00","0.00","1.71","7.37","9.08","Credits","0.00","2.02","0.00","0.00","2.02","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Attleboro","Invoice Charges","0.00","450.64","0.00","923.59","1374.23","Payments","0.00","25.01","117.03","0.00","142.04","Credits","1.01","0.00","0.00","0.00","1.01","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Auburn","Invoice Charges","772.62","3.28","2.51","1152.89","1931.30","Payments","0.00","118.02","0.00","0.00","118.02","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
"Avon","Invoice Charges","888.53","760.98","2.95","9.43","1661.89","Payments","119.01","0.00","0.00","0.00","119.01","Credits","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00"
