"Abington","2861.27","0.002503","27:48:00","0.003097","2861.27","0.003234","27:48:00","0.004032","0.00","0.000000","0:00:00","0.000000","2861.27","1390.80","27:24:00","0:24:00","6346.00","0.003522","5084.21","0.003276","1261.79","0.005041","5338.42","9207.27","0.003126","27:48:00","0.003097","7945.48","0.003261","27:48:00","0.004032","1261.79","0.002481","0:00:00","0.000000","8199.69","1390.80","27:24:00","0:24:00"
"Acton","2154.40","0.001885","20:48:00","0.002317","2154.40","0.002435","20:48:00","0.003017","0.00","0.000000","0:00:00","0.000000","2154.40","1040.74","20:24:00","0:24:00","7210.56","0.004001","5948.77","0.003834","1261.79","0.005041","6246.22","9364.96","0.003180","20:48:00","0.002317","8103.17","0.003326","20:48:00","0.003017","1261.79","0.002481","0:00:00","0.000000","8400.62","1040.74","20:24:00","0:24:00"
"Acushnet","2577.76","0.002255","24:48:00","0.002763","1506.45","0.001703","14:36:00","0.002118","1071.31","0.004149","10:12:00","0.004900","1506.45","1240.98","24:24:00","0:24:00","5738.62","0.003184","5738.62","0.003698","0.00","0.000000","6025.56","8316.38","0.002824","24:48:00","0.002763","7245.07","0.002973","14:36:00","0.002118","1071.31","0.002107","10:12:00","0.004900","7532.01","1240.98","24:24:00","0:24:00"
"Adams","3183.64","0.002785","30:48:00","0.003431","2122.43","0.002399","20:36:00","0.002988","1061.21","0.004110","10:12:00","0.004900","2122.43","1541.03","30:24:00","0:24:00","5969.66","0.003313","5969.66","0.003847","0.00","0.000000","4834.43","9153.30","0.003108","30:48:00","0.003431","8092.09","0.003321","20:36:00","0.002988","1061.21","0.002087","10:12:00","0.004900","6956.86","1541.03","30:24:00","0:24:00"
"Agawam","2313.74","0.002024","22:48:00","0.002540","2313.74","0.002615","22:48:00","0.003307","0.00","0.000000","0:00:00","0.000000","2313.74","1140.32","22:24:00","0:24:00","7634.71","0.004237","4462.81","0.002876","3171.90","0.012673","4685.95","9948.45","0.003378","22:48:00","0.002540","6776.55","0.002781","22:48:00","0.003307","3171.90","0.006238","0:00:00","0.000000","6999.69","1140.32","22:24:00","0:24:00"
"Alford","5031.73","0.004402","49:12:00","0.005481","786.05","0.000888","7:36:00","0.001102","4245.68","0.016443","41:36:00","0.019985","786.05","2461.05","48:06:00","1:06:00","9315.83","0.005170","8681.45","0.005595","634.38","0.002535","6545.55","14347.56","0.004872","49:12:00","0.005481","9467.50","0.003886","7:36:00","0.001102","4880.06","0.009597","41:36:00","0.019985","7331.60","2461.05","48:06:00","1:06:00"
"Amesbury","7145.73","0.006252","68:12:00","0.007598","5979.37","0.006758","57:00:00","0.008268","1166.36","0.004517","11:12:00","0.005380","2860.89","3413.21","67:06:00","1:06:00","8668.40","0.004810","8668.40","0.005586","0.00","0.000000","11786.82","15814.13","0.005370","68:12:00","0.007598","14647.77","0.006012","57:00:00","0.008268","1166.36","0.002294","11:12:00","0.005380","14647.71","3413.21","67:06:00","1:06:00"
"Amherst","8492.82","0.007430","82:12:00","0.009158","7874.34","0.008899","76:12:00","0.011053","618.48","0.002395","6:00:00","0.002882","4394.02","4112.70","81:06:00","1:06:00","8014.98","0.004448","1706.03","0.001099","6308.95","0.025206","1791.33","16507.80","0.005605","82:12:00","0.009158","9580.37","0.003932","76:12:00","0.011053","6927.43","0.013623","6:00:00","0.002882","6185.35","4112.70","81:06:00","1:06:00"
"Andover","9568.32","0.008371","92:12:00","0.010272","8943.76","0.010108","86:12:00","0.012503","624.56","0.002419","6:00:00","0.002882","12958.72","4613.42","91:06:00","1:06:00","3800.34","0.002109","1904.17","0.001227","1896.17","0.007576","1999.38","13368.66","0.004539","92:12:00","0.010272","10847.93","0.004452","86:12:00","0.012503","2520.73","0.004957","6:00:00","0.002882","14958.10","4613.42","91:06:00","1:06:00"
"Aquinnah","10155.02","0.008884","100:12:00","0.011163","1363.94","0.001541","13:24:00","0.001944","8791.08","0.034046","86:48:00","0.041699","1363.94","5011.23","99:06:00","1:06:00","4640.89","0.002575","4006.51","0.002582","634.38","0.002535","4206.84","14795.91","0.005024","100:12:00","0.011163","5370.45","0.002204","13:24:00","0.001944","9425.46","0.018536","86:48:00","0.041699","5570.78","5011.23","99:06:00","1:06:00"
