"Bid","71208.64","0.000000","0.00","71208.64"
"Build Structure","19825.33","0.000000","0.00","19825.33"
"Clean","87307.24","0.037373","3262.92","90570.16"
"Cleanup Supplies","86275.68","0.080598","6953.62","93229.30"
"Consultants","272172.80","0.050001","13608.96","285781.76"
"DemoS","36861.44","0.000000","0.00","36861.44"
"DesignL","118641.05","-0.038352","(4550.16)","114090.89"
"DesignS","103914.24","0.000000","0.00","103914.24"
"First aid","171603.44","0.080597","13830.66","185434.10"
"Fix","52653.71","0.000000","0.00","52653.71"
"Hand Tools","28944.64","0.050015","1447.68","30392.32"
"Landscape Supplies","214638.89","0.049998","10731.50","225370.39"
"Lot Maintenance","171398.88","0.034351","5887.68","177286.56"
"Pave","173096.44","0.000000","0.00","173096.44"
"Pavers","113605.20","0.013255","1505.88","115111.08"
"Planting","149339.43","-0.034044","(5084.04)","144255.39"
"Plants","188789.76","0.050003","9440.00","198229.76"
"Power Tools","58378.00","0.013515","788.98","59166.98"
"Safety","300480.00","0.050002","15024.64","315504.64"
"Snacks","242215.67","0.050000","12110.72","254326.39"
"Water Feature","175278.64","0.036171","6340.08","181618.72"
"Wood","141837.75","0.080821","11463.48","153301.23"
