"BA-Absolute-Both","12/27/2013","0","2637.84","1040.00","3677.84"
"BA-Absolute-Exp","12/27/2013","0","2764.21","1042.50","3806.71"
"BA-Absolute-NoSlips","12/27/2013","0","3120.00","0.00","3120.00"
"BA-Absolute-Time","12/27/2013","0","3556.80","1040.00","4596.80"
"BA-AdjExpense","12/27/2013","0","2873.15","0.00","2873.15"
"BA-AdjTask","12/27/2013","0","2674.37","0.00","2674.37"
"BA-AdjTK-Both","12/27/2013","0","2674.37","0.00","2674.37"
"BA-AdjTK-Exp","12/27/2013","0","2873.15","0.00","2873.15"
"BA-AdjTK-Time","12/27/2013","0","2674.37","0.00","2674.37"
"BA-AdjTot-Both","12/27/2013","0","2904.66","0.00","2904.66"
"BA-AdjTot-Exp","12/27/2013","0","2873.15","0.00","2873.15"
"BA-AdjTot-Time","12/27/2013","0","2674.37","0.00","2674.37"
"BA-Cont-Both","12/27/2013","0","3712.39","0.00","3712.39"
"BA-Cont-Exp","12/27/2013","0","3964.67","0.00","3964.67"
"BA-Cont-Time","12/27/2013","0","6073.60","0.00","6073.60"
"BA-FFPlus-Both","12/27/2013","0","3163.96","520.00","3683.96"
"BA-FFPlus-Exp","12/27/2013","0","3164.11","521.25","3685.36"
"BA-FFPlus-Time","12/27/2013","0","3162.86","520.00","3682.86"
"BA-InterimAct","12/27/2013","0","9422.40","0.00","9422.40"
"BA-InterimTot","12/27/2013","0","9422.40","0.00","9422.40"
"BA-Maximum-Both","12/27/2013","0","2116.74","0.00","2116.74"
"BA-Maximum-Exp","12/27/2013","0","2242.96","0.00","2242.96"
"BA-Maximum-Time","12/27/2013","0","2642.86","0.00","2642.86"
"BA-Minimum-Both","12/27/2013","0","6806.63","5200.00","12006.63"
"BA-Minimum-Exp","12/27/2013","0","6934.21","5212.50","12146.71"
"BA-Minimum-Time","12/27/2013","0","7716.80","5200.00","12916.80"
"BA-MinimumHours","12/27/2013","0","3660.80","1040.00","4700.80"
"BA-Percent","12/27/2013","0","8590.40","0.00","8590.40"
"BA-Precision","12/27/2013","0","2642.86","0.00","2642.86"
"BA-ProgressAct","12/27/2013","0","9422.40","0.00","9422.40"
"BA-ProgressTot","12/27/2013","0","9422.40","0.00","9422.40"
"BA-ReplaceExpA","12/27/2013","0","9129.45","0.00","9129.45"
"BA-ReplaceTimeA","12/27/2013","0","9129.45","0.00","9129.45"
"BA-ReplaceTimeB","12/27/2013","0","9129.45","0.00","9129.45"
"BA-ReplaceTimeC","12/27/2013","0","9129.45","0.00","9129.45"
"BA-RoundDol","12/27/2013","0","2648.42","0.00","2648.42"
"BA-RoundMin","12/27/2013","0","2653.41","0.00","2653.41"
