"Abington","Invoice Charges","127.31","1225.25","1.99","2337.64","2102.83","885.37","6680.39","Payments","101.01","126.03","103.02","149.10","126.09","126.11","731.36","Credits","1.01","2.02","3.03","4.04","5.05","6.06","21.21","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acton","Invoice Charges","240.28","132.13","3.13","2572.91","2340.64","998.91","6288.00","Payments","102.01","127.03","105.16","148.96","127.09","127.11","737.36","Credits","1.01","2.02","3.03","4.04","5.05","6.06","21.21","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Acushnet","Invoice Charges","342.89","243.02","4.51","253.38","2575.05","15.83","3434.68","Payments","103.01","128.03","107.54","148.58","128.09","118.89","734.14","Credits","1.01","2.02","3.03","4.04","5.05","6.06","21.21","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Adams","Invoice Charges","670.85","343.65","6.76","179.98","426.34","1380.35","3007.93","Payments","104.01","129.03","110.79","147.33","129.09","129.11","749.36","Credits","1.01","2.02","3.03","4.04","5.05","6.06","21.21","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Agawam","Invoice Charges","441.39","665.43","6.87","11.66","478.54","139.93","1743.82","Payments","105.01","130.03","111.90","116.70","161.61","130.11","755.36","Credits","1.01","2.02","3.03","4.04","5.05","6.06","21.21","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Alford","Invoice Charges","0.00","458.90","0.00","388.99","388.35","621.32","1857.56","Payments","0.00","0.00","0.00","106.04","0.00","0.00","106.04","Credits","0.00","0.00","3.03","0.00","0.00","0.00","3.03","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Amesbury","Invoice Charges","299.41","300.68","300.56","2013.81","2941.98","2373.39","8229.83","Payments","0.00","0.00","107.03","0.00","0.00","25.05","132.08","Credits","0.00","2.02","0.00","0.00","0.00","0.00","2.02","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Amherst","Invoice Charges","346.23","1127.05","347.14","357.82","1504.80","1038.86","4721.90","Payments","0.00","108.02","0.00","0.00","25.04","0.00","133.06","Credits","1.01","0.00","0.00","0.00","0.00","0.00","1.01","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Andover","Invoice Charges","1436.69","2304.42","1441.78","3081.57","1470.10","1927.76","11662.32","Payments","109.01","0.00","0.00","25.03","0.00","109.06","243.10","Credits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Aquinnah","Invoice Charges","0.00","976.89","0.00","1857.89","1626.04","18.37","4479.19","Payments","0.00","0.00","0.00","25.02","110.05","0.00","135.07","Credits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Write Offs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Refunds","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Transfers","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
